,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6498205685E-08,-9.6498205685E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:58,08:31:58
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.51857E-08, -5.8172E-02, -7.089E-02
-9.51732E-08, -5.8141E-02, -7.095E-02
-9.51607E-08, -5.8141E-02, -7.095E-02
-9.51482E-08, -5.8120E-02, -7.084E-02
-9.51357E-08, -5.8088E-02, -7.079E-02
-9.51232E-08, -5.8067E-02, -7.074E-02
-9.51107E-08, -5.8046E-02, -7.063E-02
-9.50982E-08, -5.8004E-02, -7.063E-02
-9.50857E-08, -5.7972E-02, -7.058E-02
-9.50732E-08, -5.7962E-02, -7.053E-02
-9.50607E-08, -5.7930E-02, -7.058E-02
-9.50482E-08, -5.7909E-02, -7.053E-02
-9.50357E-08, -5.7877E-02, -7.047E-02
-9.50232E-08, -5.7856E-02, -7.042E-02
-9.50107E-08, -5.7835E-02, -7.047E-02
-9.49982E-08, -5.7803E-02, -7.047E-02
-9.49857E-08, -5.7793E-02, -7.042E-02
-9.49732E-08, -5.7761E-02, -7.047E-02
-9.49607E-08, -5.7740E-02, -7.058E-02
-9.49482E-08, -5.7740E-02, -7.063E-02
-9.49357E-08, -5.7740E-02, -7.068E-02
-9.49232E-08, -5.7719E-02, -7.068E-02
-9.49107E-08, -5.7698E-02, -7.074E-02
-9.48982E-08, -5.7709E-02, -7.095E-02
-9.48857E-08, -5.7709E-02, -7.100E-02
-9.48732E-08, -5.7709E-02, -7.121E-02
-9.48607E-08, -5.7719E-02, -7.121E-02
-9.48482E-08, -5.7730E-02, -7.132E-02
-9.48357E-08, -5.7740E-02, -7.147E-02
-9.48232E-08, -5.7740E-02, -7.158E-02
-9.48107E-08, -5.7772E-02, -7.163E-02
-9.47982E-08, -5.7761E-02, -7.184E-02
-9.47857E-08, -5.7793E-02, -7.190E-02
-9.47732E-08, -5.7793E-02, -7.205E-02
-9.47607E-08, -5.7803E-02, -7.221E-02
-9.47482E-08, -5.7825E-02, -7.232E-02
-9.47357E-08, -5.7825E-02, -7.237E-02
-9.47232E-08, -5.7867E-02, -7.248E-02
-9.47107E-08, -5.7867E-02, -7.253E-02
-9.46982E-08, -5.7888E-02, -7.258E-02
-9.46857E-08, -5.7888E-02, -7.263E-02
-9.46732E-08, -5.7909E-02, -7.274E-02
-9.46607E-08, -5.7909E-02, -7.279E-02
-9.46482E-08, -5.7919E-02, -7.295E-02
-9.46357E-08, -5.7909E-02, -7.290E-02
-9.46232E-08, -5.7898E-02, -7.290E-02
-9.46107E-08, -5.7919E-02, -7.284E-02
-9.45982E-08, -5.7919E-02, -7.305E-02
-9.45857E-08, -5.7909E-02, -7.284E-02
-9.45732E-08, -5.7909E-02, -7.300E-02
-9.45607E-08, -5.7877E-02, -7.305E-02
-9.45482E-08, -5.7919E-02, -7.300E-02
-9.45357E-08, -5.7909E-02, -7.300E-02
-9.45232E-08, -5.7888E-02, -7.300E-02
-9.45107E-08, -5.7856E-02, -7.295E-02
-9.44982E-08, -5.7867E-02, -7.300E-02
-9.44857E-08, -5.7867E-02, -7.311E-02
-9.44732E-08, -5.7856E-02, -7.305E-02
-9.44607E-08, -5.7867E-02, -7.305E-02
-9.44482E-08, -5.7867E-02, -7.316E-02
-9.44357E-08, -5.7877E-02, -7.316E-02
-9.44232E-08, -5.7888E-02, -7.316E-02
-9.44107E-08, -5.7898E-02, -7.316E-02
-9.43982E-08, -5.7898E-02, -7.327E-02
-9.43857E-08, -5.7919E-02, -7.327E-02
-9.43732E-08, -5.7930E-02, -7.332E-02
-9.43607E-08, -5.7962E-02, -7.337E-02
-9.43482E-08, -5.7983E-02, -7.353E-02
-9.43357E-08, -5.8014E-02, -7.342E-02
-9.43232E-08, -5.8025E-02, -7.353E-02
-9.43107E-08, -5.8046E-02, -7.348E-02
-9.42982E-08, -5.8099E-02, -7.358E-02
-9.42857E-08, -5.8120E-02, -7.348E-02
-9.42732E-08, -5.8162E-02, -7.353E-02
-9.42607E-08, -5.8183E-02, -7.363E-02
-9.42482E-08, -5.8225E-02, -7.358E-02
-9.42357E-08, -5.8246E-02, -7.353E-02
-9.42232E-08, -5.8278E-02, -7.353E-02
-9.42107E-08, -5.8320E-02, -7.337E-02
-9.41982E-08, -5.8320E-02, -7.342E-02
-9.41857E-08, -5.8362E-02, -7.337E-02
-9.41732E-08, -5.8373E-02, -7.327E-02
-9.41607E-08, -5.8404E-02, -7.316E-02
-9.41482E-08, -5.8404E-02, -7.311E-02
-9.41357E-08, -5.8394E-02, -7.305E-02
-9.41232E-08, -5.8404E-02, -7.290E-02
-9.41107E-08, -5.8404E-02, -7.284E-02
-9.40982E-08, -5.8383E-02, -7.269E-02
-9.40857E-08, -5.8373E-02, -7.269E-02
-9.40732E-08, -5.8362E-02, -7.248E-02
-9.40607E-08, -5.8330E-02, -7.237E-02
-9.40482E-08, -5.8320E-02, -7.221E-02
-9.40357E-08, -5.8288E-02, -7.221E-02
-9.40232E-08, -5.8257E-02, -7.200E-02
-9.40107E-08, -5.8214E-02, -7.184E-02
-9.39982E-08, -5.8172E-02, -7.184E-02
