,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6550963324E-08,-9.6550963324E-08
Units:              ,second,second
YDispRange:         ,4.00000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.30000004172325E-01
YInc:               ,6.586598374270E-06,1.3173196748539E-05
YOrg:               ,-3.57703537474722E-03,2.41645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:34:35,08:34:35
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65510E-08, -1.11334E-01, -9.258E-02
-9.65385E-08, -1.11360E-01, -9.264E-02
-9.65260E-08, -1.11466E-01, -9.269E-02
-9.65135E-08, -1.11492E-01, -9.274E-02
-9.65010E-08, -1.11624E-01, -9.295E-02
-9.64885E-08, -1.11729E-01, -9.290E-02
-9.64760E-08, -1.11808E-01, -9.306E-02
-9.64635E-08, -1.11913E-01, -9.311E-02
-9.64510E-08, -1.12071E-01, -9.332E-02
-9.64385E-08, -1.12151E-01, -9.337E-02
-9.64260E-08, -1.12309E-01, -9.348E-02
-9.64135E-08, -1.12361E-01, -9.369E-02
-9.64010E-08, -1.12519E-01, -9.374E-02
-9.63885E-08, -1.12598E-01, -9.401E-02
-9.63760E-08, -1.12730E-01, -9.411E-02
-9.63635E-08, -1.12783E-01, -9.427E-02
-9.63510E-08, -1.12915E-01, -9.443E-02
-9.63385E-08, -1.12967E-01, -9.459E-02
-9.63260E-08, -1.13073E-01, -9.480E-02
-9.63135E-08, -1.13125E-01, -9.474E-02
-9.63010E-08, -1.13152E-01, -9.496E-02
-9.62885E-08, -1.13152E-01, -9.517E-02
-9.62760E-08, -1.13231E-01, -9.517E-02
-9.62635E-08, -1.13231E-01, -9.527E-02
-9.62510E-08, -1.13283E-01, -9.548E-02
-9.62385E-08, -1.13257E-01, -9.554E-02
-9.62260E-08, -1.13231E-01, -9.559E-02
-9.62135E-08, -1.13257E-01, -9.564E-02
-9.62010E-08, -1.13283E-01, -9.580E-02
-9.61885E-08, -1.13231E-01, -9.575E-02
-9.61760E-08, -1.13178E-01, -9.590E-02
-9.61635E-08, -1.13125E-01, -9.585E-02
-9.61510E-08, -1.13152E-01, -9.601E-02
-9.61385E-08, -1.13125E-01, -9.596E-02
-9.61260E-08, -1.13073E-01, -9.596E-02
-9.61135E-08, -1.13046E-01, -9.596E-02
-9.61010E-08, -1.13020E-01, -9.596E-02
-9.60885E-08, -1.12994E-01, -9.596E-02
-9.60760E-08, -1.12994E-01, -9.580E-02
-9.60635E-08, -1.12915E-01, -9.580E-02
-9.60510E-08, -1.12967E-01, -9.590E-02
-9.60385E-08, -1.12915E-01, -9.580E-02
-9.60260E-08, -1.12967E-01, -9.590E-02
-9.60135E-08, -1.13020E-01, -9.575E-02
-9.60010E-08, -1.12994E-01, -9.585E-02
-9.59885E-08, -1.13020E-01, -9.575E-02
-9.59760E-08, -1.13046E-01, -9.569E-02
-9.59635E-08, -1.13046E-01, -9.564E-02
-9.59510E-08, -1.13099E-01, -9.559E-02
-9.59385E-08, -1.13152E-01, -9.559E-02
-9.59260E-08, -1.13178E-01, -9.564E-02
-9.59135E-08, -1.13231E-01, -9.564E-02
-9.59010E-08, -1.13283E-01, -9.564E-02
-9.58885E-08, -1.13310E-01, -9.559E-02
-9.58760E-08, -1.13310E-01, -9.564E-02
-9.58635E-08, -1.13389E-01, -9.554E-02
-9.58510E-08, -1.13415E-01, -9.580E-02
-9.58385E-08, -1.13441E-01, -9.569E-02
-9.58260E-08, -1.13494E-01, -9.575E-02
-9.58135E-08, -1.13494E-01, -9.585E-02
-9.58010E-08, -1.13521E-01, -9.590E-02
-9.57885E-08, -1.13573E-01, -9.601E-02
-9.57760E-08, -1.13547E-01, -9.611E-02
-9.57635E-08, -1.13547E-01, -9.606E-02
-9.57510E-08, -1.13521E-01, -9.611E-02
-9.57385E-08, -1.13521E-01, -9.633E-02
-9.57260E-08, -1.13468E-01, -9.638E-02
-9.57135E-08, -1.13468E-01, -9.643E-02
-9.57010E-08, -1.13415E-01, -9.654E-02
-9.56885E-08, -1.13362E-01, -9.659E-02
-9.56760E-08, -1.13362E-01, -9.659E-02
-9.56635E-08, -1.13231E-01, -9.654E-02
-9.56510E-08, -1.13231E-01, -9.669E-02
-9.56385E-08, -1.13099E-01, -9.664E-02
-9.56260E-08, -1.13046E-01, -9.664E-02
-9.56135E-08, -1.12915E-01, -9.664E-02
-9.56010E-08, -1.12941E-01, -9.664E-02
-9.55885E-08, -1.12809E-01, -9.654E-02
-9.55760E-08, -1.12730E-01, -9.648E-02
-9.55635E-08, -1.12677E-01, -9.633E-02
-9.55510E-08, -1.12625E-01, -9.622E-02
-9.55385E-08, -1.12493E-01, -9.601E-02
-9.55260E-08, -1.12467E-01, -9.590E-02
-9.55135E-08, -1.12388E-01, -9.569E-02
-9.55010E-08, -1.12309E-01, -9.554E-02
-9.54885E-08, -1.12282E-01, -9.532E-02
-9.54760E-08, -1.12230E-01, -9.506E-02
-9.54635E-08, -1.12203E-01, -9.485E-02
-9.54510E-08, -1.12177E-01, -9.469E-02
-9.54385E-08, -1.12124E-01, -9.438E-02
-9.54260E-08, -1.12151E-01, -9.422E-02
-9.54135E-08, -1.12098E-01, -9.406E-02
-9.54010E-08, -1.12124E-01, -9.380E-02
-9.53885E-08, -1.12098E-01, -9.359E-02
-9.53760E-08, -1.12151E-01, -9.348E-02
-9.53635E-08, -1.12124E-01, -9.327E-02
-9.53510E-08, -1.12151E-01, -9.316E-02
-9.53385E-08, -1.12230E-01, -9.306E-02
-9.53260E-08, -1.12256E-01, -9.290E-02
-9.53135E-08, -1.12282E-01, -9.285E-02
-9.53010E-08, -1.12282E-01, -9.285E-02
-9.52885E-08, -1.12309E-01, -9.285E-02
-9.52760E-08, -1.12361E-01, -9.285E-02
-9.52635E-08, -1.12414E-01, -9.280E-02
-9.52510E-08, -1.12467E-01, -9.301E-02
-9.52385E-08, -1.12467E-01, -9.301E-02
-9.52260E-08, -1.12519E-01, -9.311E-02
-9.52135E-08, -1.12546E-01, -9.322E-02
-9.52010E-08, -1.12598E-01, -9.337E-02
-9.51885E-08, -1.12598E-01, -9.348E-02
-9.51760E-08, -1.12625E-01, -9.364E-02
-9.51635E-08, -1.12598E-01, -9.380E-02
-9.51510E-08, -1.12598E-01, -9.390E-02
-9.51385E-08, -1.12598E-01, -9.411E-02
-9.51260E-08, -1.12546E-01, -9.422E-02
-9.51135E-08, -1.12572E-01, -9.432E-02
-9.51010E-08, -1.12519E-01, -9.448E-02
-9.50885E-08, -1.12519E-01, -9.459E-02
-9.50760E-08, -1.12414E-01, -9.459E-02
-9.50635E-08, -1.12361E-01, -9.474E-02
-9.50510E-08, -1.12335E-01, -9.485E-02
-9.50385E-08, -1.12203E-01, -9.474E-02
-9.50260E-08, -1.12177E-01, -9.490E-02
-9.50135E-08, -1.12098E-01, -9.485E-02
-9.50010E-08, -1.12019E-01, -9.480E-02
-9.49885E-08, -1.11940E-01, -9.469E-02
-9.49760E-08, -1.11861E-01, -9.469E-02
-9.49635E-08, -1.11782E-01, -9.448E-02
-9.49510E-08, -1.11650E-01, -9.438E-02
