,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6621227065E-08,-9.6621227065E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:45,08:31:45
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.66212E-08, -5.2798E-02, -6.684E-02
-9.66087E-08, -5.2745E-02, -6.668E-02
-9.65962E-08, -5.2724E-02, -6.689E-02
-9.65837E-08, -5.2671E-02, -6.689E-02
-9.65712E-08, -5.2650E-02, -6.710E-02
-9.65587E-08, -5.2587E-02, -6.710E-02
-9.65462E-08, -5.2555E-02, -6.726E-02
-9.65337E-08, -5.2513E-02, -6.736E-02
-9.65212E-08, -5.2503E-02, -6.757E-02
-9.65087E-08, -5.2460E-02, -6.784E-02
-9.64962E-08, -5.2408E-02, -6.800E-02
-9.64837E-08, -5.2397E-02, -6.810E-02
-9.64712E-08, -5.2376E-02, -6.842E-02
-9.64587E-08, -5.2366E-02, -6.858E-02
-9.64462E-08, -5.2344E-02, -6.879E-02
-9.64337E-08, -5.2334E-02, -6.889E-02
-9.64212E-08, -5.2323E-02, -6.921E-02
-9.64087E-08, -5.2334E-02, -6.926E-02
-9.63962E-08, -5.2334E-02, -6.952E-02
-9.63837E-08, -5.2355E-02, -6.968E-02
-9.63712E-08, -5.2366E-02, -6.979E-02
-9.63587E-08, -5.2366E-02, -6.995E-02
-9.63462E-08, -5.2408E-02, -6.995E-02
-9.63337E-08, -5.2418E-02, -7.010E-02
-9.63212E-08, -5.2450E-02, -7.021E-02
-9.63087E-08, -5.2471E-02, -7.021E-02
-9.62962E-08, -5.2492E-02, -7.021E-02
-9.62837E-08, -5.2534E-02, -7.026E-02
-9.62712E-08, -5.2566E-02, -7.026E-02
-9.62587E-08, -5.2597E-02, -7.016E-02
-9.62462E-08, -5.2640E-02, -7.021E-02
-9.62337E-08, -5.2671E-02, -7.016E-02
-9.62212E-08, -5.2692E-02, -7.010E-02
-9.62087E-08, -5.2724E-02, -7.005E-02
-9.61962E-08, -5.2734E-02, -7.000E-02
-9.61837E-08, -5.2745E-02, -7.005E-02
-9.61712E-08, -5.2777E-02, -7.000E-02
-9.61587E-08, -5.2777E-02, -6.989E-02
-9.61462E-08, -5.2787E-02, -6.979E-02
-9.61337E-08, -5.2798E-02, -6.984E-02
-9.61212E-08, -5.2798E-02, -6.989E-02
-9.61087E-08, -5.2777E-02, -6.989E-02
-9.60962E-08, -5.2777E-02, -6.995E-02
-9.60837E-08, -5.2766E-02, -6.989E-02
-9.60712E-08, -5.2766E-02, -6.995E-02
-9.60587E-08, -5.2724E-02, -7.000E-02
-9.60462E-08, -5.2724E-02, -7.010E-02
-9.60337E-08, -5.2703E-02, -7.016E-02
-9.60212E-08, -5.2671E-02, -7.026E-02
-9.60087E-08, -5.2640E-02, -7.042E-02
-9.59962E-08, -5.2629E-02, -7.047E-02
-9.59837E-08, -5.2587E-02, -7.063E-02
-9.59712E-08, -5.2576E-02, -7.079E-02
-9.59587E-08, -5.2555E-02, -7.089E-02
-9.59462E-08, -5.2534E-02, -7.095E-02
-9.59337E-08, -5.2503E-02, -7.116E-02
-9.59212E-08, -5.2492E-02, -7.121E-02
-9.59087E-08, -5.2471E-02, -7.137E-02
-9.58962E-08, -5.2471E-02, -7.142E-02
-9.58837E-08, -5.2460E-02, -7.158E-02
-9.58712E-08, -5.2460E-02, -7.153E-02
-9.58587E-08, -5.2471E-02, -7.158E-02
-9.58462E-08, -5.2460E-02, -7.163E-02
-9.58337E-08, -5.2471E-02, -7.163E-02
-9.58212E-08, -5.2481E-02, -7.158E-02
-9.58087E-08, -5.2503E-02, -7.158E-02
-9.57962E-08, -5.2524E-02, -7.147E-02
-9.57837E-08, -5.2534E-02, -7.137E-02
-9.57712E-08, -5.2555E-02, -7.121E-02
-9.57587E-08, -5.2587E-02, -7.116E-02
-9.57462E-08, -5.2597E-02, -7.100E-02
-9.57337E-08, -5.2629E-02, -7.089E-02
-9.57212E-08, -5.2661E-02, -7.079E-02
-9.57087E-08, -5.2671E-02, -7.058E-02
-9.56962E-08, -5.2692E-02, -7.031E-02
-9.56837E-08, -5.2703E-02, -7.021E-02
-9.56712E-08, -5.2755E-02, -7.000E-02
-9.56587E-08, -5.2777E-02, -6.974E-02
-9.56462E-08, -5.2798E-02, -6.958E-02
-9.56337E-08, -5.2798E-02, -6.942E-02
-9.56212E-08, -5.2819E-02, -6.916E-02
-9.56087E-08, -5.2808E-02, -6.910E-02
-9.55962E-08, -5.2819E-02, -6.900E-02
-9.55837E-08, -5.2840E-02, -6.884E-02
-9.55712E-08, -5.2840E-02, -6.879E-02
-9.55587E-08, -5.2819E-02, -6.858E-02
-9.55462E-08, -5.2798E-02, -6.858E-02
-9.55337E-08, -5.2808E-02, -6.858E-02
-9.55212E-08, -5.2808E-02, -6.858E-02
-9.55087E-08, -5.2777E-02, -6.847E-02
-9.54962E-08, -5.2755E-02, -6.863E-02
-9.54837E-08, -5.2745E-02, -6.868E-02
-9.54712E-08, -5.2724E-02, -6.873E-02
-9.54587E-08, -5.2713E-02, -6.873E-02
-9.54462E-08, -5.2692E-02, -6.894E-02
-9.54337E-08, -5.2692E-02, -6.900E-02
-9.54212E-08, -5.2650E-02, -6.916E-02
-9.54087E-08, -5.2629E-02, -6.926E-02
-9.53962E-08, -5.2629E-02, -6.947E-02
-9.53837E-08, -5.2618E-02, -6.958E-02
-9.53712E-08, -5.2587E-02, -6.979E-02
-9.53587E-08, -5.2576E-02, -6.989E-02
-9.53462E-08, -5.2587E-02, -7.005E-02
-9.53337E-08, -5.2576E-02, -7.010E-02
-9.53212E-08, -5.2597E-02, -7.031E-02
-9.53087E-08, -5.2566E-02, -7.037E-02
-9.52962E-08, -5.2576E-02, -7.042E-02
-9.52837E-08, -5.2597E-02, -7.047E-02
-9.52712E-08, -5.2608E-02, -7.058E-02
-9.52587E-08, -5.2608E-02, -7.058E-02
-9.52462E-08, -5.2640E-02, -7.068E-02
-9.52337E-08, -5.2650E-02, -7.063E-02
-9.52212E-08, -5.2650E-02, -7.063E-02
-9.52087E-08, -5.2671E-02, -7.063E-02
-9.51962E-08, -5.2692E-02, -7.063E-02
-9.51837E-08, -5.2713E-02, -7.053E-02
-9.51712E-08, -5.2713E-02, -7.047E-02
-9.51587E-08, -5.2724E-02, -7.047E-02
-9.51462E-08, -5.2745E-02, -7.037E-02
-9.51337E-08, -5.2734E-02, -7.031E-02
-9.51212E-08, -5.2766E-02, -7.021E-02
-9.51087E-08, -5.2755E-02, -7.010E-02
-9.50962E-08, -5.2766E-02, -7.000E-02
-9.50837E-08, -5.2745E-02, -6.989E-02
-9.50712E-08, -5.2745E-02, -6.979E-02
-9.50587E-08, -5.2724E-02, -6.974E-02
-9.50462E-08, -5.2713E-02, -6.968E-02
-9.50337E-08, -5.2692E-02, -6.968E-02
-9.50212E-08, -5.2650E-02, -6.958E-02
