,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15984,15984
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6551929845E-08,-9.6551929845E-08
Units:              ,second,second
YDispRange:         ,4.00000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.30000004172325E-01
YInc:               ,6.586598374270E-06,1.3173196748539E-05
YOrg:               ,-3.57703537474722E-03,2.41645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:34:03,08:34:03
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65519E-08, -1.00848E-01, -8.774E-02
-9.65394E-08, -1.00769E-01, -8.800E-02
-9.65269E-08, -1.00795E-01, -8.821E-02
-9.65144E-08, -1.00743E-01, -8.837E-02
-9.65019E-08, -1.00743E-01, -8.863E-02
-9.64894E-08, -1.00690E-01, -8.879E-02
-9.64769E-08, -1.00637E-01, -8.900E-02
-9.64644E-08, -1.00611E-01, -8.921E-02
-9.64519E-08, -1.00558E-01, -8.942E-02
-9.64394E-08, -1.00558E-01, -8.958E-02
-9.64269E-08, -1.00505E-01, -8.979E-02
-9.64144E-08, -1.00479E-01, -9.006E-02
-9.64019E-08, -1.00453E-01, -9.027E-02
-9.63894E-08, -1.00426E-01, -9.032E-02
-9.63769E-08, -1.00347E-01, -9.048E-02
-9.63644E-08, -1.00374E-01, -9.058E-02
-9.63519E-08, -1.00295E-01, -9.074E-02
-9.63394E-08, -1.00295E-01, -9.079E-02
-9.63269E-08, -1.00242E-01, -9.090E-02
-9.63144E-08, -1.00216E-01, -9.095E-02
-9.63019E-08, -1.00189E-01, -9.100E-02
-9.62894E-08, -1.00137E-01, -9.100E-02
-9.62769E-08, -1.00058E-01, -9.106E-02
-9.62644E-08, -1.00031E-01, -9.111E-02
-9.62519E-08, -1.00005E-01, -9.116E-02
-9.62394E-08, -9.9952E-02, -9.111E-02
-9.62269E-08, -9.9899E-02, -9.116E-02
-9.62144E-08, -9.9873E-02, -9.111E-02
-9.62019E-08, -9.9820E-02, -9.116E-02
-9.61894E-08, -9.9820E-02, -9.106E-02
-9.61769E-08, -9.9689E-02, -9.111E-02
-9.61644E-08, -9.9662E-02, -9.106E-02
-9.61519E-08, -9.9610E-02, -9.095E-02
-9.61394E-08, -9.9636E-02, -9.095E-02
-9.61269E-08, -9.9557E-02, -9.095E-02
-9.61144E-08, -9.9531E-02, -9.085E-02
-9.61019E-08, -9.9557E-02, -9.085E-02
-9.60894E-08, -9.9478E-02, -9.063E-02
-9.60769E-08, -9.9425E-02, -9.063E-02
-9.60644E-08, -9.9425E-02, -9.053E-02
-9.60519E-08, -9.9399E-02, -9.048E-02
-9.60394E-08, -9.9346E-02, -9.048E-02
-9.60269E-08, -9.9373E-02, -9.042E-02
-9.60144E-08, -9.9346E-02, -9.037E-02
-9.60019E-08, -9.9346E-02, -9.032E-02
-9.59894E-08, -9.9346E-02, -9.037E-02
-9.59769E-08, -9.9293E-02, -9.027E-02
-9.59644E-08, -9.9320E-02, -9.032E-02
-9.59519E-08, -9.9293E-02, -9.037E-02
-9.59394E-08, -9.9293E-02, -9.037E-02
-9.59269E-08, -9.9267E-02, -9.032E-02
-9.59144E-08, -9.9293E-02, -9.037E-02
-9.59019E-08, -9.9293E-02, -9.048E-02
-9.58894E-08, -9.9293E-02, -9.053E-02
-9.58769E-08, -9.9267E-02, -9.058E-02
-9.58644E-08, -9.9293E-02, -9.058E-02
-9.58519E-08, -9.9293E-02, -9.074E-02
-9.58394E-08, -9.9293E-02, -9.079E-02
-9.58269E-08, -9.9293E-02, -9.085E-02
-9.58144E-08, -9.9267E-02, -9.111E-02
-9.58019E-08, -9.9320E-02, -9.127E-02
-9.57894E-08, -9.9293E-02, -9.132E-02
-9.57769E-08, -9.9320E-02, -9.158E-02
-9.57644E-08, -9.9320E-02, -9.164E-02
-9.57519E-08, -9.9346E-02, -9.179E-02
-9.57394E-08, -9.9346E-02, -9.206E-02
-9.57269E-08, -9.9346E-02, -9.222E-02
-9.57144E-08, -9.9399E-02, -9.227E-02
-9.57019E-08, -9.9399E-02, -9.248E-02
-9.56894E-08, -9.9452E-02, -9.269E-02
-9.56769E-08, -9.9478E-02, -9.280E-02
-9.56644E-08, -9.9504E-02, -9.280E-02
-9.56519E-08, -9.9583E-02, -9.306E-02
-9.56394E-08, -9.9636E-02, -9.316E-02
-9.56269E-08, -9.9662E-02, -9.327E-02
-9.56144E-08, -9.9741E-02, -9.343E-02
-9.56019E-08, -9.9873E-02, -9.353E-02
-9.55894E-08, -9.9873E-02, -9.359E-02
-9.55769E-08, -9.9978E-02, -9.374E-02
-9.55644E-08, -1.00031E-01, -9.374E-02
-9.55519E-08, -1.00084E-01, -9.380E-02
-9.55394E-08, -1.00216E-01, -9.380E-02
-9.55269E-08, -1.00242E-01, -9.380E-02
-9.55144E-08, -1.00321E-01, -9.395E-02
-9.55019E-08, -1.00400E-01, -9.395E-02
-9.54894E-08, -1.00479E-01, -9.395E-02
-9.54769E-08, -1.00558E-01, -9.385E-02
-9.54644E-08, -1.00637E-01, -9.390E-02
-9.54519E-08, -1.00663E-01, -9.395E-02
-9.54394E-08, -1.00743E-01, -9.395E-02
-9.54269E-08, -1.00769E-01, -9.390E-02
-9.54144E-08, -1.00848E-01, -9.390E-02
-9.54019E-08, -1.00848E-01, -9.395E-02
-9.53894E-08, -1.00901E-01, -9.395E-02
-9.53769E-08, -1.00927E-01, -9.390E-02
-9.53644E-08, -1.00874E-01, -9.385E-02
-9.53519E-08, -1.00927E-01, -9.385E-02
-9.53394E-08, -1.00901E-01, -9.380E-02
-9.53269E-08, -1.00874E-01, -9.385E-02
-9.53144E-08, -1.00848E-01, -9.385E-02
-9.53019E-08, -1.00874E-01, -9.374E-02
-9.52894E-08, -1.00795E-01, -9.369E-02
-9.52769E-08, -1.00743E-01, -9.364E-02
-9.52644E-08, -1.00716E-01, -9.353E-02
-9.52519E-08, -1.00637E-01, -9.353E-02
-9.52394E-08, -1.00584E-01, -9.337E-02
-9.52269E-08, -1.00505E-01, -9.332E-02
-9.52144E-08, -1.00453E-01, -9.327E-02
-9.52019E-08, -1.00374E-01, -9.311E-02
-9.51894E-08, -1.00321E-01, -9.301E-02
-9.51769E-08, -1.00268E-01, -9.285E-02
-9.51644E-08, -1.00189E-01, -9.264E-02
-9.51519E-08, -1.00163E-01, -9.237E-02
-9.51394E-08, -1.00084E-01, -9.222E-02
-9.51269E-08, -1.00005E-01, -9.211E-02
-9.51144E-08, -9.9952E-02, -9.185E-02
-9.51019E-08, -9.9926E-02, -9.174E-02
-9.50894E-08, -9.9873E-02, -9.143E-02
-9.50769E-08, -9.9794E-02, -9.111E-02
-9.50644E-08, -9.9794E-02, -9.085E-02
-9.50519E-08, -9.9768E-02, -9.063E-02
-9.50394E-08, -9.9715E-02, -9.032E-02
-9.50269E-08, -9.9689E-02, -9.016E-02
-9.50144E-08, -9.9689E-02, -8.990E-02
-9.50019E-08, -9.9689E-02, -8.974E-02
-9.49894E-08, -9.9636E-02, -8.948E-02
-9.49769E-08, -9.9689E-02, -8.937E-02
-9.49644E-08, -9.9715E-02, -8.916E-02
-9.49519E-08, -9.9715E-02, -8.890E-02
