,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6628189439E-08,-9.6628189439E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,0.0E+00,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,1.16459288484805E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:30:34,08:30:34
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.66282E-08, -2.2811E-02, -4.797E-02
-9.66157E-08, -2.2826E-02, -4.824E-02
-9.66032E-08, -2.2848E-02, -4.871E-02
-9.65907E-08, -2.2869E-02, -4.908E-02
-9.65782E-08, -2.2905E-02, -4.945E-02
-9.65657E-08, -2.2921E-02, -4.987E-02
-9.65532E-08, -2.2948E-02, -5.013E-02
-9.65407E-08, -2.2969E-02, -5.061E-02
-9.65282E-08, -2.3006E-02, -5.098E-02
-9.65157E-08, -2.3027E-02, -5.135E-02
-9.65032E-08, -2.3053E-02, -5.161E-02
-9.64907E-08, -2.3074E-02, -5.192E-02
-9.64782E-08, -2.3100E-02, -5.219E-02
-9.64657E-08, -2.3122E-02, -5.250E-02
-9.64532E-08, -2.3143E-02, -5.277E-02
-9.64407E-08, -2.3153E-02, -5.293E-02
-9.64282E-08, -2.3169E-02, -5.303E-02
-9.64157E-08, -2.3185E-02, -5.319E-02
-9.64032E-08, -2.3190E-02, -5.330E-02
-9.63907E-08, -2.3206E-02, -5.340E-02
-9.63782E-08, -2.3206E-02, -5.340E-02
-9.63657E-08, -2.3190E-02, -5.345E-02
-9.63532E-08, -2.3179E-02, -5.340E-02
-9.63407E-08, -2.3174E-02, -5.345E-02
-9.63282E-08, -2.3158E-02, -5.345E-02
-9.63157E-08, -2.3137E-02, -5.345E-02
-9.63032E-08, -2.3111E-02, -5.324E-02
-9.62907E-08, -2.3095E-02, -5.330E-02
-9.62782E-08, -2.3064E-02, -5.324E-02
-9.62657E-08, -2.3037E-02, -5.314E-02
-9.62532E-08, -2.3006E-02, -5.308E-02
-9.62407E-08, -2.2974E-02, -5.293E-02
-9.62282E-08, -2.2937E-02, -5.287E-02
-9.62157E-08, -2.2895E-02, -5.287E-02
-9.62032E-08, -2.2853E-02, -5.277E-02
-9.61907E-08, -2.2805E-02, -5.256E-02
-9.61782E-08, -2.2774E-02, -5.261E-02
-9.61657E-08, -2.2732E-02, -5.240E-02
-9.61532E-08, -2.2695E-02, -5.240E-02
-9.61407E-08, -2.2668E-02, -5.240E-02
-9.61282E-08, -2.2631E-02, -5.240E-02
-9.61157E-08, -2.2595E-02, -5.235E-02
-9.61032E-08, -2.2568E-02, -5.235E-02
-9.60907E-08, -2.2547E-02, -5.229E-02
-9.60782E-08, -2.2521E-02, -5.240E-02
-9.60657E-08, -2.2500E-02, -5.235E-02
-9.60532E-08, -2.2494E-02, -5.229E-02
-9.60407E-08, -2.2489E-02, -5.224E-02
-9.60282E-08, -2.2479E-02, -5.240E-02
-9.60157E-08, -2.2484E-02, -5.240E-02
-9.60032E-08, -2.2484E-02, -5.245E-02
-9.59907E-08, -2.2500E-02, -5.235E-02
-9.59782E-08, -2.2505E-02, -5.235E-02
-9.59657E-08, -2.2521E-02, -5.229E-02
-9.59532E-08, -2.2547E-02, -5.235E-02
-9.59407E-08, -2.2568E-02, -5.229E-02
-9.59282E-08, -2.2605E-02, -5.235E-02
-9.59157E-08, -2.2631E-02, -5.219E-02
-9.59032E-08, -2.2658E-02, -5.219E-02
-9.58907E-08, -2.2705E-02, -5.208E-02
-9.58782E-08, -2.2742E-02, -5.203E-02
-9.58657E-08, -2.2779E-02, -5.198E-02
-9.58532E-08, -2.2821E-02, -5.187E-02
-9.58407E-08, -2.2853E-02, -5.171E-02
-9.58282E-08, -2.2890E-02, -5.171E-02
-9.58157E-08, -2.2927E-02, -5.161E-02
-9.58032E-08, -2.2974E-02, -5.145E-02
-9.57907E-08, -2.3011E-02, -5.124E-02
-9.57782E-08, -2.3042E-02, -5.119E-02
-9.57657E-08, -2.3074E-02, -5.103E-02
-9.57532E-08, -2.3095E-02, -5.092E-02
-9.57407E-08, -2.3122E-02, -5.087E-02
-9.57282E-08, -2.3143E-02, -5.077E-02
-9.57157E-08, -2.3153E-02, -5.055E-02
-9.57032E-08, -2.3169E-02, -5.045E-02
-9.56907E-08, -2.3174E-02, -5.029E-02
-9.56782E-08, -2.3179E-02, -5.029E-02
-9.56657E-08, -2.3190E-02, -5.013E-02
-9.56532E-08, -2.3185E-02, -5.008E-02
-9.56407E-08, -2.3169E-02, -4.998E-02
-9.56282E-08, -2.3158E-02, -4.992E-02
-9.56157E-08, -2.3148E-02, -4.998E-02
-9.56032E-08, -2.3137E-02, -5.003E-02
-9.55907E-08, -2.3116E-02, -4.998E-02
-9.55782E-08, -2.3090E-02, -4.987E-02
-9.55657E-08, -2.3079E-02, -4.992E-02
-9.55532E-08, -2.3053E-02, -5.003E-02
-9.55407E-08, -2.3027E-02, -4.998E-02
-9.55282E-08, -2.3011E-02, -5.013E-02
-9.55157E-08, -2.2985E-02, -5.013E-02
-9.55032E-08, -2.2958E-02, -5.024E-02
-9.54907E-08, -2.2932E-02, -5.034E-02
-9.54782E-08, -2.2916E-02, -5.045E-02
-9.54657E-08, -2.2890E-02, -5.050E-02
-9.54532E-08, -2.2874E-02, -5.061E-02
-9.54407E-08, -2.2858E-02, -5.071E-02
-9.54282E-08, -2.2853E-02, -5.087E-02
-9.54157E-08, -2.2832E-02, -5.087E-02
-9.54032E-08, -2.2826E-02, -5.098E-02
-9.53907E-08, -2.2811E-02, -5.113E-02
-9.53782E-08, -2.2811E-02, -5.119E-02
-9.53657E-08, -2.2811E-02, -5.124E-02
-9.53532E-08, -2.2811E-02, -5.140E-02
-9.53407E-08, -2.2811E-02, -5.135E-02
-9.53282E-08, -2.2811E-02, -5.150E-02
-9.53157E-08, -2.2816E-02, -5.150E-02
-9.53032E-08, -2.2826E-02, -5.161E-02
-9.52907E-08, -2.2837E-02, -5.161E-02
-9.52782E-08, -2.2842E-02, -5.156E-02
-9.52657E-08, -2.2858E-02, -5.166E-02
-9.52532E-08, -2.2874E-02, -5.150E-02
-9.52407E-08, -2.2884E-02, -5.156E-02
-9.52282E-08, -2.2895E-02, -5.150E-02
-9.52157E-08, -2.2911E-02, -5.140E-02
-9.52032E-08, -2.2911E-02, -5.135E-02
-9.51907E-08, -2.2916E-02, -5.135E-02
-9.51782E-08, -2.2932E-02, -5.124E-02
-9.51657E-08, -2.2942E-02, -5.113E-02
-9.51532E-08, -2.2937E-02, -5.092E-02
-9.51407E-08, -2.2948E-02, -5.087E-02
-9.51282E-08, -2.2953E-02, -5.077E-02
-9.51157E-08, -2.2948E-02, -5.061E-02
-9.51032E-08, -2.2958E-02, -5.055E-02
-9.50907E-08, -2.2948E-02, -5.029E-02
-9.50782E-08, -2.2948E-02, -5.013E-02
-9.50657E-08, -2.2932E-02, -5.003E-02
-9.50532E-08, -2.2921E-02, -4.992E-02
-9.50407E-08, -2.2921E-02, -4.966E-02
-9.50282E-08, -2.2900E-02, -4.955E-02
