,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6452154365E-08,-9.6452154365E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:32:41,08:32:41
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.64522E-08, -6.9586E-02, -8.212E-02
-9.64397E-08, -6.9617E-02, -8.201E-02
-9.64272E-08, -6.9638E-02, -8.201E-02
-9.64147E-08, -6.9691E-02, -8.191E-02
-9.64022E-08, -6.9712E-02, -8.180E-02
-9.63897E-08, -6.9744E-02, -8.170E-02
-9.63772E-08, -6.9765E-02, -8.154E-02
-9.63647E-08, -6.9796E-02, -8.133E-02
-9.63522E-08, -6.9838E-02, -8.122E-02
-9.63397E-08, -6.9838E-02, -8.101E-02
-9.63272E-08, -6.9870E-02, -8.080E-02
-9.63147E-08, -6.9881E-02, -8.048E-02
-9.63022E-08, -6.9891E-02, -8.033E-02
-9.62897E-08, -6.9881E-02, -8.001E-02
-9.62772E-08, -6.9891E-02, -7.975E-02
-9.62647E-08, -6.9891E-02, -7.954E-02
-9.62522E-08, -6.9881E-02, -7.938E-02
-9.62397E-08, -6.9881E-02, -7.911E-02
-9.62272E-08, -6.9881E-02, -7.901E-02
-9.62147E-08, -6.9860E-02, -7.875E-02
-9.62022E-08, -6.9849E-02, -7.859E-02
-9.61897E-08, -6.9828E-02, -7.838E-02
-9.61772E-08, -6.9817E-02, -7.832E-02
-9.61647E-08, -6.9786E-02, -7.822E-02
-9.61522E-08, -6.9775E-02, -7.811E-02
-9.61397E-08, -6.9744E-02, -7.801E-02
-9.61272E-08, -6.9712E-02, -7.796E-02
-9.61147E-08, -6.9701E-02, -7.796E-02
-9.61022E-08, -6.9691E-02, -7.796E-02
-9.60897E-08, -6.9659E-02, -7.796E-02
-9.60772E-08, -6.9638E-02, -7.801E-02
-9.60647E-08, -6.9617E-02, -7.796E-02
-9.60522E-08, -6.9596E-02, -7.811E-02
-9.60397E-08, -6.9575E-02, -7.811E-02
-9.60272E-08, -6.9564E-02, -7.822E-02
-9.60147E-08, -6.9554E-02, -7.838E-02
-9.60022E-08, -6.9554E-02, -7.843E-02
-9.59897E-08, -6.9543E-02, -7.853E-02
-9.59772E-08, -6.9533E-02, -7.869E-02
-9.59647E-08, -6.9554E-02, -7.875E-02
-9.59522E-08, -6.9554E-02, -7.885E-02
-9.59397E-08, -6.9543E-02, -7.896E-02
-9.59272E-08, -6.9554E-02, -7.901E-02
-9.59147E-08, -6.9543E-02, -7.911E-02
-9.59022E-08, -6.9564E-02, -7.917E-02
-9.58897E-08, -6.9554E-02, -7.933E-02
-9.58772E-08, -6.9575E-02, -7.933E-02
-9.58647E-08, -6.9607E-02, -7.933E-02
-9.58522E-08, -6.9607E-02, -7.938E-02
-9.58397E-08, -6.9617E-02, -7.933E-02
-9.58272E-08, -6.9617E-02, -7.938E-02
-9.58147E-08, -6.9638E-02, -7.927E-02
-9.58022E-08, -6.9649E-02, -7.927E-02
-9.57897E-08, -6.9659E-02, -7.922E-02
-9.57772E-08, -6.9670E-02, -7.927E-02
-9.57647E-08, -6.9691E-02, -7.917E-02
-9.57522E-08, -6.9712E-02, -7.911E-02
-9.57397E-08, -6.9723E-02, -7.901E-02
-9.57272E-08, -6.9723E-02, -7.890E-02
-9.57147E-08, -6.9744E-02, -7.880E-02
-9.57022E-08, -6.9754E-02, -7.875E-02
-9.56897E-08, -6.9775E-02, -7.864E-02
-9.56772E-08, -6.9754E-02, -7.869E-02
-9.56647E-08, -6.9786E-02, -7.853E-02
-9.56522E-08, -6.9817E-02, -7.848E-02
-9.56397E-08, -6.9817E-02, -7.848E-02
-9.56272E-08, -6.9828E-02, -7.832E-02
-9.56147E-08, -6.9828E-02, -7.838E-02
-9.56022E-08, -6.9849E-02, -7.838E-02
-9.55897E-08, -6.9860E-02, -7.832E-02
-9.55772E-08, -6.9870E-02, -7.838E-02
-9.55647E-08, -6.9870E-02, -7.843E-02
-9.55522E-08, -6.9891E-02, -7.853E-02
-9.55397E-08, -6.9881E-02, -7.848E-02
-9.55272E-08, -6.9881E-02, -7.869E-02
-9.55147E-08, -6.9912E-02, -7.875E-02
-9.55022E-08, -6.9923E-02, -7.885E-02
-9.54897E-08, -6.9912E-02, -7.896E-02
-9.54772E-08, -6.9902E-02, -7.917E-02
-9.54647E-08, -6.9923E-02, -7.933E-02
-9.54522E-08, -6.9902E-02, -7.954E-02
-9.54397E-08, -6.9912E-02, -7.969E-02
-9.54272E-08, -6.9902E-02, -7.996E-02
-9.54147E-08, -6.9891E-02, -8.006E-02
-9.54022E-08, -6.9912E-02, -8.033E-02
-9.53897E-08, -6.9902E-02, -8.054E-02
-9.53772E-08, -6.9881E-02, -8.064E-02
-9.53647E-08, -6.9870E-02, -8.101E-02
-9.53522E-08, -6.9860E-02, -8.117E-02
-9.53397E-08, -6.9838E-02, -8.133E-02
-9.53272E-08, -6.9817E-02, -8.154E-02
-9.53147E-08, -6.9807E-02, -8.164E-02
-9.53022E-08, -6.9796E-02, -8.185E-02
-9.52897E-08, -6.9765E-02, -8.201E-02
-9.52772E-08, -6.9765E-02, -8.217E-02
-9.52647E-08, -6.9733E-02, -8.228E-02
-9.52522E-08, -6.9723E-02, -8.238E-02
-9.52397E-08, -6.9723E-02, -8.254E-02
-9.52272E-08, -6.9701E-02, -8.270E-02
-9.52147E-08, -6.9691E-02, -8.275E-02
-9.52022E-08, -6.9680E-02, -8.275E-02
-9.51897E-08, -6.9670E-02, -8.286E-02
-9.51772E-08, -6.9670E-02, -8.280E-02
-9.51647E-08, -6.9680E-02, -8.275E-02
-9.51522E-08, -6.9670E-02, -8.280E-02
-9.51397E-08, -6.9691E-02, -8.280E-02
-9.51272E-08, -6.9670E-02, -8.275E-02
-9.51147E-08, -6.9680E-02, -8.264E-02
-9.51022E-08, -6.9701E-02, -8.259E-02
-9.50897E-08, -6.9701E-02, -8.254E-02
-9.50772E-08, -6.9712E-02, -8.233E-02
-9.50647E-08, -6.9723E-02, -8.217E-02
-9.50522E-08, -6.9754E-02, -8.217E-02
-9.50397E-08, -6.9765E-02, -8.196E-02
-9.50272E-08, -6.9786E-02, -8.185E-02
-9.50147E-08, -6.9807E-02, -8.175E-02
-9.50022E-08, -6.9828E-02, -8.159E-02
-9.49897E-08, -6.9849E-02, -8.149E-02
-9.49772E-08, -6.9860E-02, -8.127E-02
-9.49647E-08, -6.9881E-02, -8.122E-02
-9.49522E-08, -6.9902E-02, -8.106E-02
-9.49397E-08, -6.9902E-02, -8.101E-02
-9.49272E-08, -6.9902E-02, -8.091E-02
-9.49147E-08, -6.9933E-02, -8.075E-02
-9.49022E-08, -6.9944E-02, -8.070E-02
-9.48897E-08, -6.9933E-02, -8.054E-02
-9.48772E-08, -6.9933E-02, -8.054E-02
-9.48647E-08, -6.9912E-02, -8.043E-02
-9.48522E-08, -6.9923E-02, -8.043E-02
