,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15984,15984
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6399735747E-08,-9.6399735747E-08
Units:              ,second,second
YDispRange:         ,4.00000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,6.586598374270E-06,1.3173196748539E-05
YOrg:               ,-3.57703537474722E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:33:25,08:33:25
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.63997E-08, -8.8281E-02, -8.744E-02
-9.63872E-08, -8.8412E-02, -8.744E-02
-9.63747E-08, -8.8518E-02, -8.744E-02
-9.63622E-08, -8.8570E-02, -8.733E-02
-9.63497E-08, -8.8729E-02, -8.733E-02
-9.63372E-08, -8.8781E-02, -8.728E-02
-9.63247E-08, -8.8887E-02, -8.723E-02
-9.63122E-08, -8.8992E-02, -8.707E-02
-9.62997E-08, -8.9071E-02, -8.707E-02
-9.62872E-08, -8.9150E-02, -8.691E-02
-9.62747E-08, -8.9256E-02, -8.675E-02
-9.62622E-08, -8.9282E-02, -8.670E-02
-9.62497E-08, -8.9335E-02, -8.660E-02
-9.62372E-08, -8.9361E-02, -8.633E-02
-9.62247E-08, -8.9387E-02, -8.618E-02
-9.62122E-08, -8.9440E-02, -8.602E-02
-9.61997E-08, -8.9440E-02, -8.586E-02
-9.61872E-08, -8.9414E-02, -8.575E-02
-9.61747E-08, -8.9414E-02, -8.560E-02
-9.61622E-08, -8.9414E-02, -8.538E-02
-9.61497E-08, -8.9361E-02, -8.528E-02
-9.61372E-08, -8.9282E-02, -8.512E-02
-9.61247E-08, -8.9282E-02, -8.502E-02
-9.61122E-08, -8.9203E-02, -8.486E-02
-9.60997E-08, -8.9176E-02, -8.481E-02
-9.60872E-08, -8.9071E-02, -8.465E-02
-9.60747E-08, -8.9097E-02, -8.459E-02
-9.60622E-08, -8.8966E-02, -8.459E-02
-9.60497E-08, -8.8913E-02, -8.465E-02
-9.60372E-08, -8.8834E-02, -8.454E-02
-9.60247E-08, -8.8808E-02, -8.475E-02
-9.60122E-08, -8.8702E-02, -8.481E-02
-9.59997E-08, -8.8676E-02, -8.486E-02
-9.59872E-08, -8.8650E-02, -8.496E-02
-9.59747E-08, -8.8597E-02, -8.523E-02
-9.59622E-08, -8.8570E-02, -8.533E-02
-9.59497E-08, -8.8597E-02, -8.560E-02
-9.59372E-08, -8.8491E-02, -8.570E-02
-9.59247E-08, -8.8491E-02, -8.607E-02
-9.59122E-08, -8.8465E-02, -8.633E-02
-9.58997E-08, -8.8518E-02, -8.654E-02
-9.58872E-08, -8.8465E-02, -8.675E-02
-9.58747E-08, -8.8465E-02, -8.712E-02
-9.58622E-08, -8.8518E-02, -8.739E-02
-9.58497E-08, -8.8491E-02, -8.770E-02
-9.58372E-08, -8.8518E-02, -8.797E-02
-9.58247E-08, -8.8518E-02, -8.823E-02
-9.58122E-08, -8.8570E-02, -8.849E-02
-9.57997E-08, -8.8544E-02, -8.865E-02
-9.57872E-08, -8.8570E-02, -8.886E-02
-9.57747E-08, -8.8570E-02, -8.907E-02
-9.57622E-08, -8.8570E-02, -8.918E-02
-9.57497E-08, -8.8570E-02, -8.939E-02
-9.57372E-08, -8.8518E-02, -8.949E-02
-9.57247E-08, -8.8544E-02, -8.960E-02
-9.57122E-08, -8.8518E-02, -8.976E-02
-9.56997E-08, -8.8544E-02, -8.981E-02
-9.56872E-08, -8.8465E-02, -8.965E-02
-9.56747E-08, -8.8465E-02, -8.971E-02
-9.56622E-08, -8.8412E-02, -8.971E-02
-9.56497E-08, -8.8439E-02, -8.976E-02
-9.56372E-08, -8.8360E-02, -8.965E-02
-9.56247E-08, -8.8307E-02, -8.960E-02
-9.56122E-08, -8.8254E-02, -8.955E-02
-9.55997E-08, -8.8254E-02, -8.934E-02
-9.55872E-08, -8.8228E-02, -8.928E-02
-9.55747E-08, -8.8175E-02, -8.923E-02
-9.55622E-08, -8.8123E-02, -8.897E-02
-9.55497E-08, -8.8096E-02, -8.892E-02
-9.55372E-08, -8.8044E-02, -8.886E-02
-9.55247E-08, -8.8044E-02, -8.865E-02
-9.55122E-08, -8.7991E-02, -8.849E-02
-9.54997E-08, -8.8017E-02, -8.839E-02
-9.54872E-08, -8.8017E-02, -8.812E-02
-9.54747E-08, -8.8044E-02, -8.807E-02
-9.54622E-08, -8.8017E-02, -8.802E-02
-9.54497E-08, -8.8070E-02, -8.786E-02
-9.54372E-08, -8.8070E-02, -8.770E-02
-9.54247E-08, -8.8123E-02, -8.749E-02
-9.54122E-08, -8.8202E-02, -8.739E-02
-9.53997E-08, -8.8254E-02, -8.718E-02
-9.53872E-08, -8.8307E-02, -8.707E-02
-9.53747E-08, -8.8386E-02, -8.691E-02
-9.53622E-08, -8.8439E-02, -8.681E-02
-9.53497E-08, -8.8518E-02, -8.665E-02
-9.53372E-08, -8.8597E-02, -8.654E-02
-9.53247E-08, -8.8676E-02, -8.628E-02
-9.53122E-08, -8.8729E-02, -8.618E-02
-9.52997E-08, -8.8834E-02, -8.596E-02
-9.52872E-08, -8.8887E-02, -8.570E-02
-9.52747E-08, -8.8913E-02, -8.554E-02
-9.52622E-08, -8.9018E-02, -8.538E-02
-9.52497E-08, -8.9097E-02, -8.517E-02
-9.52372E-08, -8.9124E-02, -8.496E-02
-9.52247E-08, -8.9150E-02, -8.481E-02
-9.52122E-08, -8.9203E-02, -8.454E-02
-9.51997E-08, -8.9203E-02, -8.438E-02
-9.51872E-08, -8.9229E-02, -8.417E-02
-9.51747E-08, -8.9256E-02, -8.407E-02
-9.51622E-08, -8.9256E-02, -8.396E-02
-9.51497E-08, -8.9256E-02, -8.386E-02
-9.51372E-08, -8.9203E-02, -8.370E-02
-9.51247E-08, -8.9176E-02, -8.370E-02
-9.51122E-08, -8.9150E-02, -8.365E-02
-9.50997E-08, -8.9045E-02, -8.359E-02
-9.50872E-08, -8.8992E-02, -8.365E-02
-9.50747E-08, -8.8939E-02, -8.365E-02
-9.50622E-08, -8.8887E-02, -8.375E-02
-9.50497E-08, -8.8808E-02, -8.386E-02
-9.50372E-08, -8.8729E-02, -8.391E-02
-9.50247E-08, -8.8650E-02, -8.423E-02
-9.50122E-08, -8.8544E-02, -8.433E-02
-9.49997E-08, -8.8465E-02, -8.459E-02
-9.49872E-08, -8.8439E-02, -8.491E-02
-9.49747E-08, -8.8333E-02, -8.517E-02
-9.49622E-08, -8.8281E-02, -8.554E-02
-9.49497E-08, -8.8202E-02, -8.586E-02
-9.49372E-08, -8.8123E-02, -8.623E-02
-9.49247E-08, -8.8070E-02, -8.654E-02
-9.49122E-08, -8.8044E-02, -8.691E-02
-9.48997E-08, -8.7991E-02, -8.733E-02
-9.48872E-08, -8.7991E-02, -8.781E-02
-9.48747E-08, -8.7991E-02, -8.812E-02
-9.48622E-08, -8.7991E-02, -8.855E-02
-9.48497E-08, -8.7965E-02, -8.897E-02
-9.48372E-08, -8.7965E-02, -8.934E-02
-9.48247E-08, -8.7965E-02, -8.965E-02
-9.48122E-08, -8.8017E-02, -8.997E-02
-9.47997E-08, -8.8044E-02, -9.018E-02
