,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15984,15984
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6570043378E-08,-9.6570043378E-08
Units:              ,second,second
YDispRange:         ,4.00000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,6.586598374270E-06,1.3173196748539E-05
YOrg:               ,-3.57703537474722E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:33:13,08:33:13
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65700E-08, -8.2142E-02, -8.560E-02
-9.65575E-08, -8.2116E-02, -8.560E-02
-9.65450E-08, -8.2116E-02, -8.575E-02
-9.65325E-08, -8.2037E-02, -8.565E-02
-9.65200E-08, -8.2037E-02, -8.570E-02
-9.65075E-08, -8.1984E-02, -8.570E-02
-9.64950E-08, -8.1931E-02, -8.565E-02
-9.64825E-08, -8.1905E-02, -8.565E-02
-9.64700E-08, -8.1879E-02, -8.565E-02
-9.64575E-08, -8.1826E-02, -8.554E-02
-9.64450E-08, -8.1826E-02, -8.560E-02
-9.64325E-08, -8.1799E-02, -8.549E-02
-9.64200E-08, -8.1799E-02, -8.549E-02
-9.64075E-08, -8.1799E-02, -8.544E-02
-9.63950E-08, -8.1826E-02, -8.544E-02
-9.63825E-08, -8.1799E-02, -8.533E-02
-9.63700E-08, -8.1826E-02, -8.533E-02
-9.63575E-08, -8.1852E-02, -8.528E-02
-9.63450E-08, -8.1852E-02, -8.533E-02
-9.63325E-08, -8.1931E-02, -8.512E-02
-9.63200E-08, -8.1958E-02, -8.523E-02
-9.63075E-08, -8.2037E-02, -8.523E-02
-9.62950E-08, -8.2116E-02, -8.523E-02
-9.62825E-08, -8.2116E-02, -8.523E-02
-9.62700E-08, -8.2195E-02, -8.528E-02
-9.62575E-08, -8.2221E-02, -8.533E-02
-9.62450E-08, -8.2300E-02, -8.533E-02
-9.62325E-08, -8.2326E-02, -8.549E-02
-9.62200E-08, -8.2379E-02, -8.549E-02
-9.62075E-08, -8.2405E-02, -8.560E-02
-9.61950E-08, -8.2458E-02, -8.570E-02
-9.61825E-08, -8.2484E-02, -8.575E-02
-9.61700E-08, -8.2564E-02, -8.591E-02
-9.61575E-08, -8.2590E-02, -8.607E-02
-9.61450E-08, -8.2564E-02, -8.623E-02
-9.61325E-08, -8.2590E-02, -8.633E-02
-9.61200E-08, -8.2590E-02, -8.654E-02
-9.61075E-08, -8.2564E-02, -8.660E-02
-9.60950E-08, -8.2537E-02, -8.670E-02
-9.60825E-08, -8.2458E-02, -8.675E-02
-9.60700E-08, -8.2458E-02, -8.697E-02
-9.60575E-08, -8.2379E-02, -8.691E-02
-9.60450E-08, -8.2326E-02, -8.697E-02
-9.60325E-08, -8.2247E-02, -8.707E-02
-9.60200E-08, -8.2195E-02, -8.718E-02
-9.60075E-08, -8.2116E-02, -8.702E-02
-9.59950E-08, -8.2037E-02, -8.707E-02
-9.59825E-08, -8.1958E-02, -8.697E-02
-9.59700E-08, -8.1852E-02, -8.686E-02
-9.59575E-08, -8.1747E-02, -8.675E-02
-9.59450E-08, -8.1641E-02, -8.665E-02
-9.59325E-08, -8.1589E-02, -8.633E-02
-9.59200E-08, -8.1510E-02, -8.633E-02
-9.59075E-08, -8.1404E-02, -8.596E-02
-9.58950E-08, -8.1352E-02, -8.575E-02
-9.58825E-08, -8.1299E-02, -8.544E-02
-9.58700E-08, -8.1246E-02, -8.523E-02
-9.58575E-08, -8.1141E-02, -8.507E-02
-9.58450E-08, -8.1194E-02, -8.470E-02
-9.58325E-08, -8.1114E-02, -8.449E-02
-9.58200E-08, -8.1114E-02, -8.417E-02
-9.58075E-08, -8.1114E-02, -8.386E-02
-9.57950E-08, -8.1062E-02, -8.354E-02
-9.57825E-08, -8.1141E-02, -8.333E-02
-9.57700E-08, -8.1062E-02, -8.312E-02
-9.57575E-08, -8.1141E-02, -8.280E-02
-9.57450E-08, -8.1194E-02, -8.270E-02
-9.57325E-08, -8.1194E-02, -8.254E-02
-9.57200E-08, -8.1299E-02, -8.238E-02
-9.57075E-08, -8.1325E-02, -8.233E-02
-9.56950E-08, -8.1404E-02, -8.222E-02
-9.56825E-08, -8.1457E-02, -8.217E-02
-9.56700E-08, -8.1615E-02, -8.228E-02
-9.56575E-08, -8.1641E-02, -8.222E-02
-9.56450E-08, -8.1747E-02, -8.238E-02
-9.56325E-08, -8.1799E-02, -8.238E-02
-9.56200E-08, -8.1879E-02, -8.259E-02
-9.56075E-08, -8.1984E-02, -8.270E-02
-9.55950E-08, -8.2063E-02, -8.291E-02
-9.55825E-08, -8.2195E-02, -8.307E-02
-9.55700E-08, -8.2274E-02, -8.333E-02
-9.55575E-08, -8.2353E-02, -8.354E-02
-9.55450E-08, -8.2432E-02, -8.380E-02
-9.55325E-08, -8.2511E-02, -8.401E-02
-9.55200E-08, -8.2590E-02, -8.423E-02
-9.55075E-08, -8.2669E-02, -8.449E-02
-9.54950E-08, -8.2722E-02, -8.475E-02
-9.54825E-08, -8.2774E-02, -8.491E-02
-9.54700E-08, -8.2880E-02, -8.528E-02
-9.54575E-08, -8.2906E-02, -8.528E-02
-9.54450E-08, -8.2932E-02, -8.549E-02
-9.54325E-08, -8.2985E-02, -8.565E-02
-9.54200E-08, -8.3011E-02, -8.586E-02
-9.54075E-08, -8.3011E-02, -8.586E-02
-9.53950E-08, -8.3038E-02, -8.586E-02
-9.53825E-08, -8.3038E-02, -8.602E-02
-9.53700E-08, -8.3064E-02, -8.607E-02
-9.53575E-08, -8.3064E-02, -8.596E-02
-9.53450E-08, -8.3064E-02, -8.586E-02
-9.53325E-08, -8.3038E-02, -8.575E-02
-9.53200E-08, -8.3038E-02, -8.565E-02
-9.53075E-08, -8.3011E-02, -8.544E-02
-9.52950E-08, -8.2959E-02, -8.528E-02
-9.52825E-08, -8.2932E-02, -8.502E-02
-9.52700E-08, -8.2959E-02, -8.491E-02
-9.52575E-08, -8.2880E-02, -8.459E-02
-9.52450E-08, -8.2880E-02, -8.428E-02
-9.52325E-08, -8.2880E-02, -8.401E-02
-9.52200E-08, -8.2774E-02, -8.375E-02
-9.52075E-08, -8.2748E-02, -8.349E-02
-9.51950E-08, -8.2722E-02, -8.317E-02
-9.51825E-08, -8.2722E-02, -8.291E-02
-9.51700E-08, -8.2669E-02, -8.264E-02
-9.51575E-08, -8.2669E-02, -8.238E-02
-9.51450E-08, -8.2590E-02, -8.212E-02
-9.51325E-08, -8.2537E-02, -8.185E-02
-9.51200E-08, -8.2511E-02, -8.154E-02
-9.51075E-08, -8.2511E-02, -8.127E-02
-9.50950E-08, -8.2432E-02, -8.101E-02
-9.50825E-08, -8.2405E-02, -8.085E-02
-9.50700E-08, -8.2432E-02, -8.075E-02
-9.50575E-08, -8.2405E-02, -8.033E-02
-9.50450E-08, -8.2353E-02, -8.027E-02
-9.50325E-08, -8.2353E-02, -8.012E-02
-9.50200E-08, -8.2353E-02, -7.996E-02
-9.50075E-08, -8.2300E-02, -7.990E-02
-9.49950E-08, -8.2300E-02, -7.969E-02
-9.49825E-08, -8.2274E-02, -7.959E-02
-9.49700E-08, -8.2221E-02, -7.948E-02
