,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15984,15984
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6444850148E-08,-9.6444850148E-08
Units:              ,second,second
YDispRange:         ,4.00000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,6.586598374270E-06,1.3173196748539E-05
YOrg:               ,-3.57703537474722E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:33:47,08:33:47
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.64449E-08, -9.4472E-02, -9.007E-02
-9.64324E-08, -9.4551E-02, -9.018E-02
-9.64199E-08, -9.4630E-02, -9.044E-02
-9.64074E-08, -9.4683E-02, -9.060E-02
-9.63949E-08, -9.4762E-02, -9.060E-02
-9.63824E-08, -9.4762E-02, -9.071E-02
-9.63699E-08, -9.4841E-02, -9.076E-02
-9.63574E-08, -9.4920E-02, -9.071E-02
-9.63449E-08, -9.4946E-02, -9.081E-02
-9.63324E-08, -9.4920E-02, -9.071E-02
-9.63199E-08, -9.4946E-02, -9.071E-02
-9.63074E-08, -9.4946E-02, -9.071E-02
-9.62949E-08, -9.4973E-02, -9.055E-02
-9.62824E-08, -9.4946E-02, -9.044E-02
-9.62699E-08, -9.4920E-02, -9.034E-02
-9.62574E-08, -9.4894E-02, -9.023E-02
-9.62449E-08, -9.4788E-02, -9.002E-02
-9.62324E-08, -9.4762E-02, -8.986E-02
-9.62199E-08, -9.4736E-02, -8.971E-02
-9.62074E-08, -9.4683E-02, -8.955E-02
-9.61949E-08, -9.4630E-02, -8.934E-02
-9.61824E-08, -9.4525E-02, -8.907E-02
-9.61699E-08, -9.4472E-02, -8.886E-02
-9.61574E-08, -9.4340E-02, -8.876E-02
-9.61449E-08, -9.4288E-02, -8.865E-02
-9.61324E-08, -9.4156E-02, -8.828E-02
-9.61199E-08, -9.4077E-02, -8.823E-02
-9.61074E-08, -9.3998E-02, -8.807E-02
-9.60949E-08, -9.3945E-02, -8.791E-02
-9.60824E-08, -9.3813E-02, -8.776E-02
-9.60699E-08, -9.3787E-02, -8.760E-02
-9.60574E-08, -9.3655E-02, -8.744E-02
-9.60449E-08, -9.3576E-02, -8.728E-02
-9.60324E-08, -9.3524E-02, -8.712E-02
-9.60199E-08, -9.3445E-02, -8.697E-02
-9.60074E-08, -9.3366E-02, -8.691E-02
-9.59949E-08, -9.3339E-02, -8.681E-02
-9.59824E-08, -9.3313E-02, -8.675E-02
-9.59699E-08, -9.3260E-02, -8.649E-02
-9.59574E-08, -9.3234E-02, -8.644E-02
-9.59449E-08, -9.3207E-02, -8.649E-02
-9.59324E-08, -9.3181E-02, -8.633E-02
-9.59199E-08, -9.3181E-02, -8.623E-02
-9.59074E-08, -9.3181E-02, -8.612E-02
-9.58949E-08, -9.3181E-02, -8.612E-02
-9.58824E-08, -9.3181E-02, -8.607E-02
-9.58699E-08, -9.3181E-02, -8.607E-02
-9.58574E-08, -9.3181E-02, -8.591E-02
-9.58449E-08, -9.3181E-02, -8.586E-02
-9.58324E-08, -9.3234E-02, -8.586E-02
-9.58199E-08, -9.3287E-02, -8.586E-02
-9.58074E-08, -9.3287E-02, -8.581E-02
-9.57949E-08, -9.3339E-02, -8.581E-02
-9.57824E-08, -9.3339E-02, -8.560E-02
-9.57699E-08, -9.3366E-02, -8.575E-02
-9.57574E-08, -9.3418E-02, -8.565E-02
-9.57449E-08, -9.3471E-02, -8.570E-02
-9.57324E-08, -9.3497E-02, -8.570E-02
-9.57199E-08, -9.3471E-02, -8.565E-02
-9.57074E-08, -9.3497E-02, -8.565E-02
-9.56949E-08, -9.3576E-02, -8.565E-02
-9.56824E-08, -9.3576E-02, -8.554E-02
-9.56699E-08, -9.3576E-02, -8.570E-02
-9.56574E-08, -9.3603E-02, -8.570E-02
-9.56449E-08, -9.3603E-02, -8.565E-02
-9.56324E-08, -9.3655E-02, -8.570E-02
-9.56199E-08, -9.3682E-02, -8.575E-02
-9.56074E-08, -9.3655E-02, -8.575E-02
-9.55949E-08, -9.3708E-02, -8.570E-02
-9.55824E-08, -9.3734E-02, -8.575E-02
-9.55699E-08, -9.3708E-02, -8.570E-02
-9.55574E-08, -9.3787E-02, -8.570E-02
-9.55449E-08, -9.3787E-02, -8.575E-02
-9.55324E-08, -9.3840E-02, -8.570E-02
-9.55199E-08, -9.3840E-02, -8.581E-02
-9.55074E-08, -9.3866E-02, -8.570E-02
-9.54949E-08, -9.3919E-02, -8.570E-02
-9.54824E-08, -9.3945E-02, -8.560E-02
-9.54699E-08, -9.3945E-02, -8.570E-02
-9.54574E-08, -9.4024E-02, -8.570E-02
-9.54449E-08, -9.4024E-02, -8.554E-02
-9.54324E-08, -9.4103E-02, -8.560E-02
-9.54199E-08, -9.4130E-02, -8.560E-02
-9.54074E-08, -9.4209E-02, -8.554E-02
-9.53949E-08, -9.4288E-02, -8.554E-02
-9.53824E-08, -9.4340E-02, -8.538E-02
-9.53699E-08, -9.4367E-02, -8.538E-02
-9.53574E-08, -9.4446E-02, -8.528E-02
-9.53449E-08, -9.4525E-02, -8.538E-02
-9.53324E-08, -9.4577E-02, -8.528E-02
-9.53199E-08, -9.4577E-02, -8.528E-02
-9.53074E-08, -9.4657E-02, -8.528E-02
-9.52949E-08, -9.4736E-02, -8.528E-02
-9.52824E-08, -9.4762E-02, -8.528E-02
-9.52699E-08, -9.4815E-02, -8.528E-02
-9.52574E-08, -9.4815E-02, -8.533E-02
-9.52449E-08, -9.4841E-02, -8.538E-02
-9.52324E-08, -9.4867E-02, -8.554E-02
-9.52199E-08, -9.4946E-02, -8.554E-02
-9.52074E-08, -9.4920E-02, -8.560E-02
-9.51949E-08, -9.4973E-02, -8.565E-02
-9.51824E-08, -9.4894E-02, -8.581E-02
-9.51699E-08, -9.4894E-02, -8.591E-02
-9.51574E-08, -9.4894E-02, -8.596E-02
-9.51449E-08, -9.4841E-02, -8.623E-02
-9.51324E-08, -9.4815E-02, -8.623E-02
-9.51199E-08, -9.4762E-02, -8.649E-02
-9.51074E-08, -9.4736E-02, -8.665E-02
-9.50949E-08, -9.4709E-02, -8.686E-02
-9.50824E-08, -9.4630E-02, -8.702E-02
-9.50699E-08, -9.4604E-02, -8.718E-02
-9.50574E-08, -9.4551E-02, -8.728E-02
-9.50449E-08, -9.4525E-02, -8.749E-02
-9.50324E-08, -9.4472E-02, -8.765E-02
-9.50199E-08, -9.4419E-02, -8.781E-02
-9.50074E-08, -9.4393E-02, -8.786E-02
-9.49949E-08, -9.4393E-02, -8.812E-02
-9.49824E-08, -9.4340E-02, -8.818E-02
-9.49699E-08, -9.4314E-02, -8.834E-02
-9.49574E-08, -9.4367E-02, -8.839E-02
-9.49449E-08, -9.4314E-02, -8.849E-02
-9.49324E-08, -9.4340E-02, -8.849E-02
-9.49199E-08, -9.4340E-02, -8.860E-02
-9.49074E-08, -9.4393E-02, -8.865E-02
-9.48949E-08, -9.4419E-02, -8.865E-02
-9.48824E-08, -9.4472E-02, -8.870E-02
-9.48699E-08, -9.4472E-02, -8.860E-02
-9.48574E-08, -9.4551E-02, -8.855E-02
-9.48449E-08, -9.4604E-02, -8.849E-02
