,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6581230913E-08,-9.6581230913E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,-8.23540711515195E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:30:51,08:30:51
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65812E-08, -2.8654E-02, -5.098E-02
-9.65687E-08, -2.8675E-02, -5.113E-02
-9.65562E-08, -2.8696E-02, -5.140E-02
-9.65437E-08, -2.8717E-02, -5.145E-02
-9.65312E-08, -2.8722E-02, -5.166E-02
-9.65187E-08, -2.8738E-02, -5.182E-02
-9.65062E-08, -2.8754E-02, -5.219E-02
-9.64937E-08, -2.8759E-02, -5.224E-02
-9.64812E-08, -2.8770E-02, -5.256E-02
-9.64687E-08, -2.8770E-02, -5.277E-02
-9.64562E-08, -2.8780E-02, -5.303E-02
-9.64437E-08, -2.8780E-02, -5.324E-02
-9.64312E-08, -2.8775E-02, -5.361E-02
-9.64187E-08, -2.8780E-02, -5.372E-02
-9.64062E-08, -2.8770E-02, -5.387E-02
-9.63937E-08, -2.8765E-02, -5.409E-02
-9.63812E-08, -2.8770E-02, -5.430E-02
-9.63687E-08, -2.8759E-02, -5.461E-02
-9.63562E-08, -2.8759E-02, -5.472E-02
-9.63437E-08, -2.8749E-02, -5.477E-02
-9.63312E-08, -2.8738E-02, -5.493E-02
-9.63187E-08, -2.8733E-02, -5.509E-02
-9.63062E-08, -2.8722E-02, -5.519E-02
-9.62937E-08, -2.8712E-02, -5.519E-02
-9.62812E-08, -2.8707E-02, -5.540E-02
-9.62687E-08, -2.8701E-02, -5.530E-02
-9.62562E-08, -2.8691E-02, -5.540E-02
-9.62437E-08, -2.8685E-02, -5.530E-02
-9.62312E-08, -2.8680E-02, -5.535E-02
-9.62187E-08, -2.8670E-02, -5.524E-02
-9.62062E-08, -2.8670E-02, -5.519E-02
-9.61937E-08, -2.8670E-02, -5.509E-02
-9.61812E-08, -2.8654E-02, -5.493E-02
-9.61687E-08, -2.8654E-02, -5.488E-02
-9.61562E-08, -2.8649E-02, -5.477E-02
-9.61437E-08, -2.8654E-02, -5.456E-02
-9.61312E-08, -2.8638E-02, -5.440E-02
-9.61187E-08, -2.8643E-02, -5.424E-02
-9.61062E-08, -2.8649E-02, -5.419E-02
-9.60937E-08, -2.8638E-02, -5.393E-02
-9.60812E-08, -2.8643E-02, -5.393E-02
-9.60687E-08, -2.8638E-02, -5.377E-02
-9.60562E-08, -2.8649E-02, -5.356E-02
-9.60437E-08, -2.8643E-02, -5.340E-02
-9.60312E-08, -2.8654E-02, -5.340E-02
-9.60187E-08, -2.8654E-02, -5.330E-02
-9.60062E-08, -2.8664E-02, -5.324E-02
-9.59937E-08, -2.8664E-02, -5.319E-02
-9.59812E-08, -2.8664E-02, -5.314E-02
-9.59687E-08, -2.8680E-02, -5.308E-02
-9.59562E-08, -2.8675E-02, -5.314E-02
-9.59437E-08, -2.8685E-02, -5.308E-02
-9.59312E-08, -2.8691E-02, -5.319E-02
-9.59187E-08, -2.8696E-02, -5.319E-02
-9.59062E-08, -2.8696E-02, -5.330E-02
-9.58937E-08, -2.8707E-02, -5.324E-02
-9.58812E-08, -2.8717E-02, -5.340E-02
-9.58687E-08, -2.8722E-02, -5.345E-02
-9.58562E-08, -2.8728E-02, -5.345E-02
-9.58437E-08, -2.8728E-02, -5.356E-02
-9.58312E-08, -2.8733E-02, -5.356E-02
-9.58187E-08, -2.8738E-02, -5.356E-02
-9.58062E-08, -2.8743E-02, -5.372E-02
-9.57937E-08, -2.8743E-02, -5.372E-02
-9.57812E-08, -2.8749E-02, -5.372E-02
-9.57687E-08, -2.8743E-02, -5.372E-02
-9.57562E-08, -2.8743E-02, -5.372E-02
-9.57437E-08, -2.8743E-02, -5.351E-02
-9.57312E-08, -2.8743E-02, -5.351E-02
-9.57187E-08, -2.8749E-02, -5.351E-02
-9.57062E-08, -2.8743E-02, -5.330E-02
-9.56937E-08, -2.8733E-02, -5.324E-02
-9.56812E-08, -2.8728E-02, -5.303E-02
-9.56687E-08, -2.8722E-02, -5.287E-02
-9.56562E-08, -2.8722E-02, -5.261E-02
-9.56437E-08, -2.8707E-02, -5.240E-02
-9.56312E-08, -2.8707E-02, -5.219E-02
-9.56187E-08, -2.8707E-02, -5.198E-02
-9.56062E-08, -2.8691E-02, -5.171E-02
-9.55937E-08, -2.8680E-02, -5.135E-02
-9.55812E-08, -2.8685E-02, -5.113E-02
-9.55687E-08, -2.8675E-02, -5.092E-02
-9.55562E-08, -2.8664E-02, -5.055E-02
-9.55437E-08, -2.8654E-02, -5.029E-02
-9.55312E-08, -2.8654E-02, -5.008E-02
-9.55187E-08, -2.8649E-02, -4.987E-02
-9.55062E-08, -2.8649E-02, -4.971E-02
-9.54937E-08, -2.8638E-02, -4.950E-02
-9.54812E-08, -2.8649E-02, -4.940E-02
-9.54687E-08, -2.8643E-02, -4.924E-02
-9.54562E-08, -2.8654E-02, -4.903E-02
-9.54437E-08, -2.8659E-02, -4.903E-02
-9.54312E-08, -2.8659E-02, -4.897E-02
-9.54187E-08, -2.8664E-02, -4.892E-02
-9.54062E-08, -2.8675E-02, -4.897E-02
-9.53937E-08, -2.8685E-02, -4.908E-02
-9.53812E-08, -2.8691E-02, -4.908E-02
-9.53687E-08, -2.8717E-02, -4.929E-02
-9.53562E-08, -2.8722E-02, -4.940E-02
-9.53437E-08, -2.8728E-02, -4.955E-02
-9.53312E-08, -2.8759E-02, -4.976E-02
-9.53187E-08, -2.8759E-02, -4.998E-02
-9.53062E-08, -2.8786E-02, -5.029E-02
-9.52937E-08, -2.8801E-02, -5.055E-02
-9.52812E-08, -2.8822E-02, -5.087E-02
-9.52687E-08, -2.8833E-02, -5.124E-02
-9.52562E-08, -2.8849E-02, -5.145E-02
-9.52437E-08, -2.8870E-02, -5.177E-02
-9.52312E-08, -2.8880E-02, -5.208E-02
-9.52187E-08, -2.8902E-02, -5.245E-02
-9.52062E-08, -2.8912E-02, -5.282E-02
-9.51937E-08, -2.8917E-02, -5.308E-02
-9.51812E-08, -2.8923E-02, -5.330E-02
-9.51687E-08, -2.8938E-02, -5.361E-02
-9.51562E-08, -2.8933E-02, -5.393E-02
-9.51437E-08, -2.8954E-02, -5.409E-02
-9.51312E-08, -2.8949E-02, -5.440E-02
-9.51187E-08, -2.8949E-02, -5.451E-02
-9.51062E-08, -2.8949E-02, -5.467E-02
-9.50937E-08, -2.8938E-02, -5.472E-02
-9.50812E-08, -2.8944E-02, -5.488E-02
-9.50687E-08, -2.8938E-02, -5.488E-02
-9.50562E-08, -2.8933E-02, -5.498E-02
-9.50437E-08, -2.8912E-02, -5.488E-02
-9.50312E-08, -2.8912E-02, -5.493E-02
-9.50187E-08, -2.8902E-02, -5.482E-02
-9.50062E-08, -2.8891E-02, -5.477E-02
-9.49937E-08, -2.8886E-02, -5.467E-02
-9.49812E-08, -2.8865E-02, -5.445E-02
