,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15984,15984
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6547983934E-08,-9.6547983934E-08
Units:              ,second,second
YDispRange:         ,4.00000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.30000004172325E-01
YInc:               ,6.586598374270E-06,1.3173196748539E-05
YOrg:               ,-3.57703537474722E-03,2.41645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:34:51,08:34:51
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65480E-08, -1.18737E-01, -9.770E-02
-9.65355E-08, -1.18763E-01, -9.748E-02
-9.65230E-08, -1.18737E-01, -9.754E-02
-9.65105E-08, -1.18763E-01, -9.738E-02
-9.64980E-08, -1.18763E-01, -9.722E-02
-9.64855E-08, -1.18737E-01, -9.712E-02
-9.64730E-08, -1.18763E-01, -9.706E-02
-9.64605E-08, -1.18737E-01, -9.696E-02
-9.64480E-08, -1.18763E-01, -9.680E-02
-9.64355E-08, -1.18763E-01, -9.669E-02
-9.64230E-08, -1.18763E-01, -9.664E-02
-9.64105E-08, -1.18737E-01, -9.643E-02
-9.63980E-08, -1.18790E-01, -9.643E-02
-9.63855E-08, -1.18763E-01, -9.633E-02
-9.63730E-08, -1.18763E-01, -9.617E-02
-9.63605E-08, -1.18763E-01, -9.617E-02
-9.63480E-08, -1.18790E-01, -9.611E-02
-9.63355E-08, -1.18763E-01, -9.601E-02
-9.63230E-08, -1.18763E-01, -9.611E-02
-9.63105E-08, -1.18737E-01, -9.606E-02
-9.62980E-08, -1.18684E-01, -9.617E-02
-9.62855E-08, -1.18684E-01, -9.601E-02
-9.62730E-08, -1.18684E-01, -9.617E-02
-9.62605E-08, -1.18632E-01, -9.617E-02
-9.62480E-08, -1.18658E-01, -9.622E-02
-9.62355E-08, -1.18658E-01, -9.638E-02
-9.62230E-08, -1.18605E-01, -9.638E-02
-9.62105E-08, -1.18605E-01, -9.643E-02
-9.61980E-08, -1.18579E-01, -9.659E-02
-9.61855E-08, -1.18526E-01, -9.675E-02
-9.61730E-08, -1.18474E-01, -9.685E-02
-9.61605E-08, -1.18474E-01, -9.685E-02
-9.61480E-08, -1.18447E-01, -9.701E-02
-9.61355E-08, -1.18421E-01, -9.717E-02
-9.61230E-08, -1.18421E-01, -9.733E-02
-9.61105E-08, -1.18395E-01, -9.743E-02
-9.60980E-08, -1.18395E-01, -9.748E-02
-9.60855E-08, -1.18342E-01, -9.764E-02
-9.60730E-08, -1.18316E-01, -9.775E-02
-9.60605E-08, -1.18316E-01, -9.780E-02
-9.60480E-08, -1.18316E-01, -9.791E-02
-9.60355E-08, -1.18289E-01, -9.791E-02
-9.60230E-08, -1.18289E-01, -9.791E-02
-9.60105E-08, -1.18289E-01, -9.806E-02
-9.59980E-08, -1.18289E-01, -9.806E-02
-9.59855E-08, -1.18289E-01, -9.806E-02
-9.59730E-08, -1.18342E-01, -9.806E-02
-9.59605E-08, -1.18342E-01, -9.801E-02
-9.59480E-08, -1.18316E-01, -9.806E-02
-9.59355E-08, -1.18368E-01, -9.806E-02
-9.59230E-08, -1.18368E-01, -9.801E-02
-9.59105E-08, -1.18395E-01, -9.806E-02
-9.58980E-08, -1.18395E-01, -9.806E-02
-9.58855E-08, -1.18395E-01, -9.796E-02
-9.58730E-08, -1.18474E-01, -9.796E-02
-9.58605E-08, -1.18474E-01, -9.791E-02
-9.58480E-08, -1.18553E-01, -9.785E-02
-9.58355E-08, -1.18553E-01, -9.791E-02
-9.58230E-08, -1.18579E-01, -9.780E-02
-9.58105E-08, -1.18632E-01, -9.780E-02
-9.57980E-08, -1.18632E-01, -9.780E-02
-9.57855E-08, -1.18711E-01, -9.775E-02
-9.57730E-08, -1.18711E-01, -9.770E-02
-9.57605E-08, -1.18763E-01, -9.775E-02
-9.57480E-08, -1.18763E-01, -9.780E-02
-9.57355E-08, -1.18790E-01, -9.775E-02
-9.57230E-08, -1.18790E-01, -9.780E-02
-9.57105E-08, -1.18816E-01, -9.780E-02
-9.56980E-08, -1.18816E-01, -9.780E-02
-9.56855E-08, -1.18843E-01, -9.785E-02
-9.56730E-08, -1.18790E-01, -9.791E-02
-9.56605E-08, -1.18790E-01, -9.796E-02
-9.56480E-08, -1.18763E-01, -9.801E-02
-9.56355E-08, -1.18711E-01, -9.806E-02
-9.56230E-08, -1.18684E-01, -9.812E-02
-9.56105E-08, -1.18711E-01, -9.817E-02
-9.55980E-08, -1.18658E-01, -9.817E-02
-9.55855E-08, -1.18579E-01, -9.833E-02
-9.55730E-08, -1.18553E-01, -9.833E-02
-9.55605E-08, -1.18447E-01, -9.833E-02
-9.55480E-08, -1.18368E-01, -9.849E-02
-9.55355E-08, -1.18342E-01, -9.859E-02
-9.55230E-08, -1.18263E-01, -9.859E-02
-9.55105E-08, -1.18210E-01, -9.875E-02
-9.54980E-08, -1.18131E-01, -9.875E-02
-9.54855E-08, -1.18052E-01, -9.875E-02
-9.54730E-08, -1.17999E-01, -9.885E-02
-9.54605E-08, -1.17920E-01, -9.885E-02
-9.54480E-08, -1.17920E-01, -9.891E-02
-9.54355E-08, -1.17841E-01, -9.885E-02
-9.54230E-08, -1.17762E-01, -9.891E-02
-9.54105E-08, -1.17762E-01, -9.896E-02
-9.53980E-08, -1.17736E-01, -9.891E-02
-9.53855E-08, -1.17683E-01, -9.896E-02
-9.53730E-08, -1.17683E-01, -9.885E-02
-9.53605E-08, -1.17710E-01, -9.880E-02
-9.53480E-08, -1.17683E-01, -9.880E-02
-9.53355E-08, -1.17710E-01, -9.880E-02
-9.53230E-08, -1.17736E-01, -9.875E-02
-9.53105E-08, -1.17789E-01, -9.875E-02
-9.52980E-08, -1.17815E-01, -9.859E-02
-9.52855E-08, -1.17894E-01, -9.849E-02
-9.52730E-08, -1.17920E-01, -9.843E-02
-9.52605E-08, -1.17973E-01, -9.828E-02
-9.52480E-08, -1.18105E-01, -9.806E-02
-9.52355E-08, -1.18157E-01, -9.796E-02
-9.52230E-08, -1.18237E-01, -9.780E-02
-9.52105E-08, -1.18342E-01, -9.764E-02
-9.51980E-08, -1.18447E-01, -9.743E-02
-9.51855E-08, -1.18526E-01, -9.727E-02
-9.51730E-08, -1.18579E-01, -9.717E-02
-9.51605E-08, -1.18684E-01, -9.701E-02
-9.51480E-08, -1.18790E-01, -9.680E-02
-9.51355E-08, -1.18869E-01, -9.659E-02
-9.51230E-08, -1.18948E-01, -9.638E-02
-9.51105E-08, -1.19053E-01, -9.622E-02
-9.50980E-08, -1.19132E-01, -9.606E-02
-9.50855E-08, -1.19132E-01, -9.580E-02
-9.50730E-08, -1.19159E-01, -9.569E-02
-9.50605E-08, -1.19238E-01, -9.559E-02
-9.50480E-08, -1.19264E-01, -9.538E-02
-9.50355E-08, -1.19264E-01, -9.527E-02
-9.50230E-08, -1.19317E-01, -9.511E-02
-9.50105E-08, -1.19264E-01, -9.496E-02
-9.49980E-08, -1.19264E-01, -9.501E-02
-9.49855E-08, -1.19290E-01, -9.490E-02
-9.49730E-08, -1.19185E-01, -9.485E-02
-9.49605E-08, -1.19159E-01, -9.485E-02
-9.49480E-08, -1.19132E-01, -9.480E-02
