,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6576889961E-08,-9.6576889961E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,0.0E+00,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,1.16459288484805E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:29:52,08:29:52
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65769E-08, -5.032E-03, -3.543E-02
-9.65644E-08, -5.037E-03, -3.554E-02
-9.65519E-08, -5.027E-03, -3.559E-02
-9.65394E-08, -5.043E-03, -3.570E-02
-9.65269E-08, -5.037E-03, -3.575E-02
-9.65144E-08, -5.048E-03, -3.591E-02
-9.65019E-08, -5.048E-03, -3.596E-02
-9.64894E-08, -5.048E-03, -3.601E-02
-9.64769E-08, -5.043E-03, -3.617E-02
-9.64644E-08, -5.053E-03, -3.622E-02
-9.64519E-08, -5.058E-03, -3.638E-02
-9.64394E-08, -5.058E-03, -3.638E-02
-9.64269E-08, -5.069E-03, -3.654E-02
-9.64144E-08, -5.074E-03, -3.664E-02
-9.64019E-08, -5.080E-03, -3.670E-02
-9.63894E-08, -5.080E-03, -3.691E-02
-9.63769E-08, -5.095E-03, -3.701E-02
-9.63644E-08, -5.095E-03, -3.722E-02
-9.63519E-08, -5.095E-03, -3.733E-02
-9.63394E-08, -5.101E-03, -3.749E-02
-9.63269E-08, -5.106E-03, -3.765E-02
-9.63144E-08, -5.116E-03, -3.775E-02
-9.63019E-08, -5.111E-03, -3.796E-02
-9.62894E-08, -5.116E-03, -3.807E-02
-9.62769E-08, -5.111E-03, -3.822E-02
-9.62644E-08, -5.122E-03, -3.838E-02
-9.62519E-08, -5.111E-03, -3.854E-02
-9.62394E-08, -5.111E-03, -3.859E-02
-9.62269E-08, -5.116E-03, -3.880E-02
-9.62144E-08, -5.111E-03, -3.902E-02
-9.62019E-08, -5.106E-03, -3.912E-02
-9.61894E-08, -5.111E-03, -3.917E-02
-9.61769E-08, -5.111E-03, -3.933E-02
-9.61644E-08, -5.116E-03, -3.944E-02
-9.61519E-08, -5.111E-03, -3.949E-02
-9.61394E-08, -5.106E-03, -3.959E-02
-9.61269E-08, -5.122E-03, -3.965E-02
-9.61144E-08, -5.111E-03, -3.959E-02
-9.61019E-08, -5.116E-03, -3.970E-02
-9.60894E-08, -5.111E-03, -3.970E-02
-9.60769E-08, -5.106E-03, -3.965E-02
-9.60644E-08, -5.116E-03, -3.954E-02
-9.60519E-08, -5.111E-03, -3.949E-02
-9.60394E-08, -5.116E-03, -3.933E-02
-9.60269E-08, -5.127E-03, -3.923E-02
-9.60144E-08, -5.116E-03, -3.912E-02
-9.60019E-08, -5.127E-03, -3.891E-02
-9.59894E-08, -5.127E-03, -3.870E-02
-9.59769E-08, -5.127E-03, -3.844E-02
-9.59644E-08, -5.127E-03, -3.817E-02
-9.59519E-08, -5.127E-03, -3.791E-02
-9.59394E-08, -5.132E-03, -3.759E-02
-9.59269E-08, -5.127E-03, -3.733E-02
-9.59144E-08, -5.132E-03, -3.701E-02
-9.59019E-08, -5.132E-03, -3.675E-02
-9.58894E-08, -5.132E-03, -3.638E-02
-9.58769E-08, -5.132E-03, -3.612E-02
-9.58644E-08, -5.137E-03, -3.580E-02
-9.58519E-08, -5.127E-03, -3.548E-02
-9.58394E-08, -5.127E-03, -3.522E-02
-9.58269E-08, -5.127E-03, -3.496E-02
-9.58144E-08, -5.132E-03, -3.475E-02
-9.58019E-08, -5.132E-03, -3.454E-02
-9.57894E-08, -5.127E-03, -3.427E-02
-9.57769E-08, -5.127E-03, -3.411E-02
-9.57644E-08, -5.122E-03, -3.406E-02
-9.57519E-08, -5.127E-03, -3.396E-02
-9.57394E-08, -5.122E-03, -3.380E-02
-9.57269E-08, -5.127E-03, -3.375E-02
-9.57144E-08, -5.127E-03, -3.369E-02
-9.57019E-08, -5.137E-03, -3.380E-02
-9.56894E-08, -5.137E-03, -3.385E-02
-9.56769E-08, -5.137E-03, -3.396E-02
-9.56644E-08, -5.143E-03, -3.411E-02
-9.56519E-08, -5.143E-03, -3.417E-02
-9.56394E-08, -5.148E-03, -3.422E-02
-9.56269E-08, -5.164E-03, -3.448E-02
-9.56144E-08, -5.169E-03, -3.464E-02
-9.56019E-08, -5.185E-03, -3.491E-02
-9.55894E-08, -5.195E-03, -3.512E-02
-9.55769E-08, -5.195E-03, -3.538E-02
-9.55644E-08, -5.211E-03, -3.548E-02
-9.55519E-08, -5.232E-03, -3.575E-02
-9.55394E-08, -5.238E-03, -3.596E-02
-9.55269E-08, -5.264E-03, -3.617E-02
-9.55144E-08, -5.274E-03, -3.633E-02
-9.55019E-08, -5.296E-03, -3.659E-02
-9.54894E-08, -5.311E-03, -3.675E-02
-9.54769E-08, -5.322E-03, -3.680E-02
-9.54644E-08, -5.343E-03, -3.696E-02
-9.54519E-08, -5.359E-03, -3.701E-02
-9.54394E-08, -5.369E-03, -3.707E-02
-9.54269E-08, -5.385E-03, -3.717E-02
-9.54144E-08, -5.396E-03, -3.717E-02
-9.54019E-08, -5.417E-03, -3.707E-02
-9.53894E-08, -5.417E-03, -3.701E-02
-9.53769E-08, -5.427E-03, -3.696E-02
-9.53644E-08, -5.438E-03, -3.691E-02
-9.53519E-08, -5.448E-03, -3.685E-02
-9.53394E-08, -5.454E-03, -3.675E-02
-9.53269E-08, -5.459E-03, -3.659E-02
-9.53144E-08, -5.459E-03, -3.638E-02
-9.53019E-08, -5.464E-03, -3.628E-02
-9.52894E-08, -5.459E-03, -3.606E-02
-9.52769E-08, -5.454E-03, -3.596E-02
-9.52644E-08, -5.448E-03, -3.570E-02
-9.52519E-08, -5.443E-03, -3.570E-02
-9.52394E-08, -5.433E-03, -3.543E-02
-9.52269E-08, -5.427E-03, -3.533E-02
-9.52144E-08, -5.406E-03, -3.517E-02
-9.52019E-08, -5.390E-03, -3.506E-02
-9.51894E-08, -5.385E-03, -3.491E-02
-9.51769E-08, -5.359E-03, -3.491E-02
-9.51644E-08, -5.348E-03, -3.469E-02
-9.51519E-08, -5.332E-03, -3.469E-02
-9.51394E-08, -5.301E-03, -3.459E-02
-9.51269E-08, -5.296E-03, -3.454E-02
-9.51144E-08, -5.264E-03, -3.454E-02
-9.51019E-08, -5.248E-03, -3.454E-02
-9.50894E-08, -5.227E-03, -3.454E-02
-9.50769E-08, -5.201E-03, -3.459E-02
-9.50644E-08, -5.174E-03, -3.448E-02
-9.50519E-08, -5.153E-03, -3.459E-02
-9.50394E-08, -5.132E-03, -3.454E-02
-9.50269E-08, -5.111E-03, -3.469E-02
-9.50144E-08, -5.085E-03, -3.475E-02
-9.50019E-08, -5.069E-03, -3.469E-02
-9.49894E-08, -5.048E-03, -3.469E-02
-9.49769E-08, -5.022E-03, -3.480E-02
-9.49644E-08, -5.000E-03, -3.475E-02
-9.49519E-08, -5.000E-03, -3.491E-02
-9.49394E-08, -4.969E-03, -3.480E-02
-9.49269E-08, -4.964E-03, -3.485E-02
-9.49144E-08, -4.943E-03, -3.475E-02
-9.49019E-08, -4.937E-03, -3.475E-02
