,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6527670120E-08,-9.6527670120E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:19,08:31:19
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65277E-08, -4.0583E-02, -6.152E-02
-9.65152E-08, -4.0583E-02, -6.146E-02
-9.65027E-08, -4.0573E-02, -6.141E-02
-9.64902E-08, -4.0552E-02, -6.130E-02
-9.64777E-08, -4.0541E-02, -6.115E-02
-9.64652E-08, -4.0531E-02, -6.099E-02
-9.64527E-08, -4.0531E-02, -6.083E-02
-9.64402E-08, -4.0541E-02, -6.057E-02
-9.64277E-08, -4.0510E-02, -6.041E-02
-9.64152E-08, -4.0510E-02, -6.025E-02
-9.64027E-08, -4.0499E-02, -5.999E-02
-9.63902E-08, -4.0510E-02, -5.978E-02
-9.63777E-08, -4.0510E-02, -5.962E-02
-9.63652E-08, -4.0489E-02, -5.930E-02
-9.63527E-08, -4.0499E-02, -5.920E-02
-9.63402E-08, -4.0478E-02, -5.893E-02
-9.63277E-08, -4.0478E-02, -5.862E-02
-9.63152E-08, -4.0489E-02, -5.851E-02
-9.63027E-08, -4.0468E-02, -5.825E-02
-9.62902E-08, -4.0468E-02, -5.814E-02
-9.62777E-08, -4.0478E-02, -5.793E-02
-9.62652E-08, -4.0468E-02, -5.777E-02
-9.62527E-08, -4.0468E-02, -5.762E-02
-9.62402E-08, -4.0468E-02, -5.741E-02
-9.62277E-08, -4.0478E-02, -5.741E-02
-9.62152E-08, -4.0457E-02, -5.719E-02
-9.62027E-08, -4.0478E-02, -5.714E-02
-9.61902E-08, -4.0468E-02, -5.714E-02
-9.61777E-08, -4.0468E-02, -5.714E-02
-9.61652E-08, -4.0468E-02, -5.709E-02
-9.61527E-08, -4.0457E-02, -5.709E-02
-9.61402E-08, -4.0457E-02, -5.709E-02
-9.61277E-08, -4.0436E-02, -5.714E-02
-9.61152E-08, -4.0436E-02, -5.719E-02
-9.61027E-08, -4.0436E-02, -5.719E-02
-9.60902E-08, -4.0446E-02, -5.730E-02
-9.60777E-08, -4.0436E-02, -5.746E-02
-9.60652E-08, -4.0415E-02, -5.746E-02
-9.60527E-08, -4.0415E-02, -5.756E-02
-9.60402E-08, -4.0415E-02, -5.756E-02
-9.60277E-08, -4.0404E-02, -5.777E-02
-9.60152E-08, -4.0394E-02, -5.777E-02
-9.60027E-08, -4.0394E-02, -5.788E-02
-9.59902E-08, -4.0362E-02, -5.804E-02
-9.59777E-08, -4.0362E-02, -5.809E-02
-9.59652E-08, -4.0341E-02, -5.814E-02
-9.59527E-08, -4.0330E-02, -5.814E-02
-9.59402E-08, -4.0320E-02, -5.835E-02
-9.59277E-08, -4.0320E-02, -5.835E-02
-9.59152E-08, -4.0309E-02, -5.846E-02
-9.59027E-08, -4.0278E-02, -5.856E-02
-9.58902E-08, -4.0257E-02, -5.862E-02
-9.58777E-08, -4.0267E-02, -5.867E-02
-9.58652E-08, -4.0246E-02, -5.872E-02
-9.58527E-08, -4.0225E-02, -5.883E-02
-9.58402E-08, -4.0225E-02, -5.883E-02
-9.58277E-08, -4.0193E-02, -5.893E-02
-9.58152E-08, -4.0183E-02, -5.893E-02
-9.58027E-08, -4.0172E-02, -5.904E-02
-9.57902E-08, -4.0162E-02, -5.920E-02
-9.57777E-08, -4.0151E-02, -5.920E-02
-9.57652E-08, -4.0130E-02, -5.930E-02
-9.57527E-08, -4.0120E-02, -5.935E-02
-9.57402E-08, -4.0120E-02, -5.935E-02
-9.57277E-08, -4.0099E-02, -5.946E-02
-9.57152E-08, -4.0078E-02, -5.957E-02
-9.57027E-08, -4.0078E-02, -5.962E-02
-9.56902E-08, -4.0067E-02, -5.978E-02
-9.56777E-08, -4.0078E-02, -5.978E-02
-9.56652E-08, -4.0067E-02, -5.978E-02
-9.56527E-08, -4.0056E-02, -5.978E-02
-9.56402E-08, -4.0056E-02, -5.983E-02
-9.56277E-08, -4.0046E-02, -5.988E-02
-9.56152E-08, -4.0046E-02, -5.988E-02
-9.56027E-08, -4.0056E-02, -5.988E-02
-9.55902E-08, -4.0056E-02, -5.988E-02
-9.55777E-08, -4.0078E-02, -5.988E-02
-9.55652E-08, -4.0078E-02, -5.983E-02
-9.55527E-08, -4.0088E-02, -5.983E-02
-9.55402E-08, -4.0120E-02, -5.978E-02
-9.55277E-08, -4.0120E-02, -5.983E-02
-9.55152E-08, -4.0130E-02, -5.957E-02
-9.55027E-08, -4.0151E-02, -5.957E-02
-9.54902E-08, -4.0183E-02, -5.951E-02
-9.54777E-08, -4.0215E-02, -5.941E-02
-9.54652E-08, -4.0246E-02, -5.930E-02
-9.54527E-08, -4.0267E-02, -5.925E-02
-9.54402E-08, -4.0299E-02, -5.914E-02
-9.54277E-08, -4.0341E-02, -5.920E-02
-9.54152E-08, -4.0373E-02, -5.904E-02
-9.54027E-08, -4.0415E-02, -5.904E-02
-9.53902E-08, -4.0425E-02, -5.904E-02
-9.53777E-08, -4.0478E-02, -5.904E-02
-9.53652E-08, -4.0520E-02, -5.904E-02
-9.53527E-08, -4.0531E-02, -5.899E-02
-9.53402E-08, -4.0562E-02, -5.909E-02
-9.53277E-08, -4.0583E-02, -5.914E-02
-9.53152E-08, -4.0626E-02, -5.925E-02
-9.53027E-08, -4.0647E-02, -5.941E-02
-9.52902E-08, -4.0657E-02, -5.962E-02
-9.52777E-08, -4.0678E-02, -5.983E-02
-9.52652E-08, -4.0699E-02, -5.988E-02
-9.52527E-08, -4.0710E-02, -6.015E-02
-9.52402E-08, -4.0720E-02, -6.020E-02
-9.52277E-08, -4.0720E-02, -6.057E-02
-9.52152E-08, -4.0710E-02, -6.067E-02
-9.52027E-08, -4.0731E-02, -6.094E-02
-9.51902E-08, -4.0689E-02, -6.115E-02
-9.51777E-08, -4.0710E-02, -6.136E-02
-9.51652E-08, -4.0678E-02, -6.162E-02
-9.51527E-08, -4.0647E-02, -6.178E-02
-9.51402E-08, -4.0636E-02, -6.194E-02
-9.51277E-08, -4.0605E-02, -6.215E-02
-9.51152E-08, -4.0605E-02, -6.225E-02
-9.51027E-08, -4.0562E-02, -6.241E-02
-9.50902E-08, -4.0541E-02, -6.241E-02
-9.50777E-08, -4.0510E-02, -6.246E-02
-9.50652E-08, -4.0489E-02, -6.252E-02
-9.50527E-08, -4.0468E-02, -6.252E-02
-9.50402E-08, -4.0436E-02, -6.252E-02
-9.50277E-08, -4.0404E-02, -6.246E-02
-9.50152E-08, -4.0394E-02, -6.231E-02
-9.50027E-08, -4.0362E-02, -6.231E-02
-9.49902E-08, -4.0362E-02, -6.220E-02
-9.49777E-08, -4.0352E-02, -6.209E-02
-9.49652E-08, -4.0341E-02, -6.183E-02
-9.49527E-08, -4.0330E-02, -6.183E-02
-9.49402E-08, -4.0330E-02, -6.173E-02
-9.49277E-08, -4.0341E-02, -6.146E-02
