,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6484269791E-08,-9.6484269791E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:32:13,08:32:13
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.64843E-08, -6.4369E-02, -7.421E-02
-9.64718E-08, -6.4358E-02, -7.416E-02
-9.64593E-08, -6.4358E-02, -7.411E-02
-9.64468E-08, -6.4348E-02, -7.406E-02
-9.64343E-08, -6.4327E-02, -7.416E-02
-9.64218E-08, -6.4306E-02, -7.395E-02
-9.64093E-08, -6.4285E-02, -7.406E-02
-9.63968E-08, -6.4274E-02, -7.406E-02
-9.63843E-08, -6.4274E-02, -7.416E-02
-9.63718E-08, -6.4242E-02, -7.416E-02
-9.63593E-08, -6.4232E-02, -7.427E-02
-9.63468E-08, -6.4232E-02, -7.432E-02
-9.63343E-08, -6.4232E-02, -7.437E-02
-9.63218E-08, -6.4211E-02, -7.453E-02
-9.63093E-08, -6.4211E-02, -7.469E-02
-9.62968E-08, -6.4200E-02, -7.479E-02
-9.62843E-08, -6.4190E-02, -7.485E-02
-9.62718E-08, -6.4200E-02, -7.495E-02
-9.62593E-08, -6.4200E-02, -7.506E-02
-9.62468E-08, -6.4211E-02, -7.527E-02
-9.62343E-08, -6.4200E-02, -7.527E-02
-9.62218E-08, -6.4211E-02, -7.537E-02
-9.62093E-08, -6.4200E-02, -7.543E-02
-9.61968E-08, -6.4211E-02, -7.548E-02
-9.61843E-08, -6.4211E-02, -7.553E-02
-9.61718E-08, -6.4211E-02, -7.548E-02
-9.61593E-08, -6.4200E-02, -7.548E-02
-9.61468E-08, -6.4221E-02, -7.543E-02
-9.61343E-08, -6.4221E-02, -7.543E-02
-9.61218E-08, -6.4211E-02, -7.537E-02
-9.61093E-08, -6.4232E-02, -7.532E-02
-9.60968E-08, -6.4221E-02, -7.511E-02
-9.60843E-08, -6.4200E-02, -7.495E-02
-9.60718E-08, -6.4200E-02, -7.485E-02
-9.60593E-08, -6.4200E-02, -7.469E-02
-9.60468E-08, -6.4179E-02, -7.448E-02
-9.60343E-08, -6.4179E-02, -7.432E-02
-9.60218E-08, -6.4179E-02, -7.411E-02
-9.60093E-08, -6.4148E-02, -7.395E-02
-9.59968E-08, -6.4158E-02, -7.374E-02
-9.59843E-08, -6.4137E-02, -7.353E-02
-9.59718E-08, -6.4127E-02, -7.327E-02
-9.59593E-08, -6.4095E-02, -7.316E-02
-9.59468E-08, -6.4095E-02, -7.295E-02
-9.59343E-08, -6.4105E-02, -7.284E-02
-9.59218E-08, -6.4074E-02, -7.269E-02
-9.59093E-08, -6.4074E-02, -7.253E-02
-9.58968E-08, -6.4063E-02, -7.242E-02
-9.58843E-08, -6.4053E-02, -7.226E-02
-9.58718E-08, -6.4053E-02, -7.226E-02
-9.58593E-08, -6.4042E-02, -7.211E-02
-9.58468E-08, -6.4042E-02, -7.205E-02
-9.58343E-08, -6.4042E-02, -7.211E-02
-9.58218E-08, -6.4021E-02, -7.211E-02
-9.58093E-08, -6.4032E-02, -7.211E-02
-9.57968E-08, -6.4032E-02, -7.216E-02
-9.57843E-08, -6.4042E-02, -7.221E-02
-9.57718E-08, -6.4032E-02, -7.216E-02
-9.57593E-08, -6.4021E-02, -7.226E-02
-9.57468E-08, -6.4021E-02, -7.242E-02
-9.57343E-08, -6.4021E-02, -7.258E-02
-9.57218E-08, -6.4021E-02, -7.263E-02
-9.57093E-08, -6.4021E-02, -7.274E-02
-9.56968E-08, -6.4011E-02, -7.290E-02
-9.56843E-08, -6.4011E-02, -7.290E-02
-9.56718E-08, -6.4000E-02, -7.316E-02
-9.56593E-08, -6.4000E-02, -7.321E-02
-9.56468E-08, -6.4000E-02, -7.332E-02
-9.56343E-08, -6.3979E-02, -7.348E-02
-9.56218E-08, -6.3968E-02, -7.353E-02
-9.56093E-08, -6.3968E-02, -7.369E-02
-9.55968E-08, -6.3968E-02, -7.379E-02
-9.55843E-08, -6.3968E-02, -7.390E-02
-9.55718E-08, -6.3937E-02, -7.406E-02
-9.55593E-08, -6.3916E-02, -7.411E-02
-9.55468E-08, -6.3926E-02, -7.427E-02
-9.55343E-08, -6.3926E-02, -7.442E-02
-9.55218E-08, -6.3895E-02, -7.448E-02
-9.55093E-08, -6.3884E-02, -7.469E-02
-9.54968E-08, -6.3874E-02, -7.474E-02
-9.54843E-08, -6.3863E-02, -7.490E-02
-9.54718E-08, -6.3842E-02, -7.490E-02
-9.54593E-08, -6.3842E-02, -7.516E-02
-9.54468E-08, -6.3821E-02, -7.516E-02
-9.54343E-08, -6.3821E-02, -7.543E-02
-9.54218E-08, -6.3800E-02, -7.548E-02
-9.54093E-08, -6.3810E-02, -7.564E-02
-9.53968E-08, -6.3821E-02, -7.579E-02
-9.53843E-08, -6.3821E-02, -7.590E-02
-9.53718E-08, -6.3821E-02, -7.601E-02
-9.53593E-08, -6.3810E-02, -7.622E-02
-9.53468E-08, -6.3821E-02, -7.627E-02
-9.53343E-08, -6.3821E-02, -7.643E-02
-9.53218E-08, -6.3821E-02, -7.653E-02
-9.53093E-08, -6.3842E-02, -7.669E-02
-9.52968E-08, -6.3842E-02, -7.674E-02
-9.52843E-08, -6.3842E-02, -7.680E-02
-9.52718E-08, -6.3863E-02, -7.701E-02
-9.52593E-08, -6.3874E-02, -7.701E-02
-9.52468E-08, -6.3884E-02, -7.711E-02
-9.52343E-08, -6.3905E-02, -7.701E-02
-9.52218E-08, -6.3895E-02, -7.716E-02
-9.52093E-08, -6.3916E-02, -7.711E-02
-9.51968E-08, -6.3926E-02, -7.706E-02
-9.51843E-08, -6.3937E-02, -7.711E-02
-9.51718E-08, -6.3968E-02, -7.695E-02
-9.51593E-08, -6.3979E-02, -7.690E-02
-9.51468E-08, -6.3990E-02, -7.690E-02
-9.51343E-08, -6.3990E-02, -7.680E-02
-9.51218E-08, -6.4000E-02, -7.674E-02
-9.51093E-08, -6.4032E-02, -7.659E-02
-9.50968E-08, -6.4021E-02, -7.648E-02
-9.50843E-08, -6.4053E-02, -7.637E-02
-9.50718E-08, -6.4063E-02, -7.627E-02
-9.50593E-08, -6.4053E-02, -7.622E-02
-9.50468E-08, -6.4063E-02, -7.606E-02
-9.50343E-08, -6.4063E-02, -7.601E-02
-9.50218E-08, -6.4063E-02, -7.585E-02
-9.50093E-08, -6.4063E-02, -7.579E-02
-9.49968E-08, -6.4063E-02, -7.574E-02
-9.49843E-08, -6.4074E-02, -7.574E-02
-9.49718E-08, -6.4053E-02, -7.564E-02
-9.49593E-08, -6.4063E-02, -7.558E-02
-9.49468E-08, -6.4053E-02, -7.564E-02
-9.49343E-08, -6.4042E-02, -7.574E-02
-9.49218E-08, -6.4042E-02, -7.585E-02
-9.49093E-08, -6.4032E-02, -7.585E-02
-9.48968E-08, -6.4042E-02, -7.590E-02
-9.48843E-08, -6.4021E-02, -7.601E-02
