,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6526480222E-08,-9.6526480222E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,0.0E+00,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,1.16459288484805E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:30:02,08:30:02
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65265E-08, -1.0907E-02, -4.128E-02
-9.65140E-08, -1.0897E-02, -4.118E-02
-9.65015E-08, -1.0881E-02, -4.102E-02
-9.64890E-08, -1.0870E-02, -4.075E-02
-9.64765E-08, -1.0865E-02, -4.070E-02
-9.64640E-08, -1.0855E-02, -4.049E-02
-9.64515E-08, -1.0839E-02, -4.044E-02
-9.64390E-08, -1.0828E-02, -4.017E-02
-9.64265E-08, -1.0823E-02, -4.007E-02
-9.64140E-08, -1.0812E-02, -3.986E-02
-9.64015E-08, -1.0802E-02, -3.975E-02
-9.63890E-08, -1.0797E-02, -3.965E-02
-9.63765E-08, -1.0786E-02, -3.959E-02
-9.63640E-08, -1.0781E-02, -3.944E-02
-9.63515E-08, -1.0770E-02, -3.933E-02
-9.63390E-08, -1.0760E-02, -3.923E-02
-9.63265E-08, -1.0755E-02, -3.923E-02
-9.63140E-08, -1.0760E-02, -3.912E-02
-9.63015E-08, -1.0744E-02, -3.907E-02
-9.62890E-08, -1.0744E-02, -3.907E-02
-9.62765E-08, -1.0749E-02, -3.907E-02
-9.62640E-08, -1.0744E-02, -3.917E-02
-9.62515E-08, -1.0739E-02, -3.917E-02
-9.62390E-08, -1.0744E-02, -3.917E-02
-9.62265E-08, -1.0749E-02, -3.928E-02
-9.62140E-08, -1.0755E-02, -3.928E-02
-9.62015E-08, -1.0755E-02, -3.944E-02
-9.61890E-08, -1.0765E-02, -3.959E-02
-9.61765E-08, -1.0781E-02, -3.970E-02
-9.61640E-08, -1.0786E-02, -3.981E-02
-9.61515E-08, -1.0797E-02, -4.002E-02
-9.61390E-08, -1.0823E-02, -4.023E-02
-9.61265E-08, -1.0828E-02, -4.044E-02
-9.61140E-08, -1.0839E-02, -4.060E-02
-9.61015E-08, -1.0855E-02, -4.081E-02
-9.60890E-08, -1.0876E-02, -4.091E-02
-9.60765E-08, -1.0907E-02, -4.112E-02
-9.60640E-08, -1.0918E-02, -4.128E-02
-9.60515E-08, -1.0934E-02, -4.149E-02
-9.60390E-08, -1.0965E-02, -4.160E-02
-9.60265E-08, -1.0986E-02, -4.176E-02
-9.60140E-08, -1.1007E-02, -4.186E-02
-9.60015E-08, -1.1023E-02, -4.207E-02
-9.59890E-08, -1.1039E-02, -4.218E-02
-9.59765E-08, -1.1060E-02, -4.239E-02
-9.59640E-08, -1.1086E-02, -4.239E-02
-9.59515E-08, -1.1097E-02, -4.244E-02
-9.59390E-08, -1.1118E-02, -4.255E-02
-9.59265E-08, -1.1134E-02, -4.255E-02
-9.59140E-08, -1.1144E-02, -4.270E-02
-9.59015E-08, -1.1155E-02, -4.270E-02
-9.58890E-08, -1.1176E-02, -4.270E-02
-9.58765E-08, -1.1187E-02, -4.265E-02
-9.58640E-08, -1.1181E-02, -4.265E-02
-9.58515E-08, -1.1187E-02, -4.270E-02
-9.58390E-08, -1.1197E-02, -4.255E-02
-9.58265E-08, -1.1197E-02, -4.255E-02
-9.58140E-08, -1.1197E-02, -4.244E-02
-9.58015E-08, -1.1197E-02, -4.249E-02
-9.57890E-08, -1.1197E-02, -4.239E-02
-9.57765E-08, -1.1192E-02, -4.239E-02
-9.57640E-08, -1.1187E-02, -4.233E-02
-9.57515E-08, -1.1171E-02, -4.228E-02
-9.57390E-08, -1.1171E-02, -4.218E-02
-9.57265E-08, -1.1155E-02, -4.207E-02
-9.57140E-08, -1.1155E-02, -4.202E-02
-9.57015E-08, -1.1134E-02, -4.191E-02
-9.56890E-08, -1.1134E-02, -4.191E-02
-9.56765E-08, -1.1123E-02, -4.191E-02
-9.56640E-08, -1.1118E-02, -4.170E-02
-9.56515E-08, -1.1102E-02, -4.160E-02
-9.56390E-08, -1.1097E-02, -4.149E-02
-9.56265E-08, -1.1097E-02, -4.149E-02
-9.56140E-08, -1.1097E-02, -4.133E-02
-9.56015E-08, -1.1081E-02, -4.133E-02
-9.55890E-08, -1.1081E-02, -4.118E-02
-9.55765E-08, -1.1086E-02, -4.112E-02
-9.55640E-08, -1.1081E-02, -4.091E-02
-9.55515E-08, -1.1086E-02, -4.081E-02
-9.55390E-08, -1.1092E-02, -4.075E-02
-9.55265E-08, -1.1097E-02, -4.060E-02
-9.55140E-08, -1.1097E-02, -4.049E-02
-9.55015E-08, -1.1108E-02, -4.044E-02
-9.54890E-08, -1.1118E-02, -4.023E-02
-9.54765E-08, -1.1129E-02, -4.028E-02
-9.54640E-08, -1.1129E-02, -4.007E-02
-9.54515E-08, -1.1144E-02, -3.996E-02
-9.54390E-08, -1.1166E-02, -3.975E-02
-9.54265E-08, -1.1176E-02, -3.970E-02
-9.54140E-08, -1.1187E-02, -3.965E-02
-9.54015E-08, -1.1197E-02, -3.954E-02
-9.53890E-08, -1.1202E-02, -3.944E-02
-9.53765E-08, -1.1213E-02, -3.928E-02
-9.53640E-08, -1.1229E-02, -3.928E-02
-9.53515E-08, -1.1239E-02, -3.928E-02
-9.53390E-08, -1.1245E-02, -3.923E-02
-9.53265E-08, -1.1250E-02, -3.917E-02
-9.53140E-08, -1.1255E-02, -3.907E-02
-9.53015E-08, -1.1260E-02, -3.912E-02
-9.52890E-08, -1.1250E-02, -3.912E-02
-9.52765E-08, -1.1250E-02, -3.917E-02
-9.52640E-08, -1.1245E-02, -3.923E-02
-9.52515E-08, -1.1239E-02, -3.923E-02
-9.52390E-08, -1.1229E-02, -3.928E-02
-9.52265E-08, -1.1218E-02, -3.933E-02
-9.52140E-08, -1.1197E-02, -3.944E-02
-9.52015E-08, -1.1176E-02, -3.949E-02
-9.51890E-08, -1.1166E-02, -3.965E-02
-9.51765E-08, -1.1150E-02, -3.975E-02
-9.51640E-08, -1.1118E-02, -3.981E-02
-9.51515E-08, -1.1108E-02, -4.002E-02
-9.51390E-08, -1.1097E-02, -4.023E-02
-9.51265E-08, -1.1076E-02, -4.028E-02
-9.51140E-08, -1.1055E-02, -4.044E-02
-9.51015E-08, -1.1029E-02, -4.065E-02
-9.50890E-08, -1.1013E-02, -4.075E-02
-9.50765E-08, -1.1002E-02, -4.096E-02
-9.50640E-08, -1.0981E-02, -4.112E-02
-9.50515E-08, -1.0976E-02, -4.118E-02
-9.50390E-08, -1.0960E-02, -4.133E-02
-9.50265E-08, -1.0949E-02, -4.149E-02
-9.50140E-08, -1.0939E-02, -4.170E-02
-9.50015E-08, -1.0928E-02, -4.186E-02
-9.49890E-08, -1.0923E-02, -4.202E-02
-9.49765E-08, -1.0923E-02, -4.218E-02
-9.49640E-08, -1.0918E-02, -4.223E-02
-9.49515E-08, -1.0918E-02, -4.249E-02
-9.49390E-08, -1.0934E-02, -4.255E-02
-9.49265E-08, -1.0923E-02, -4.255E-02
