,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6523678623E-08,-9.6523678623E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,-8.23540711515195E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:04,08:31:04
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.65237E-08, -3.5040E-02, -5.387E-02
-9.65112E-08, -3.5030E-02, -5.377E-02
-9.64987E-08, -3.5019E-02, -5.377E-02
-9.64862E-08, -3.5003E-02, -5.356E-02
-9.64737E-08, -3.4998E-02, -5.361E-02
-9.64612E-08, -3.4982E-02, -5.356E-02
-9.64487E-08, -3.4972E-02, -5.345E-02
-9.64362E-08, -3.4966E-02, -5.345E-02
-9.64237E-08, -3.4956E-02, -5.345E-02
-9.64112E-08, -3.4940E-02, -5.330E-02
-9.63987E-08, -3.4930E-02, -5.335E-02
-9.63862E-08, -3.4919E-02, -5.335E-02
-9.63737E-08, -3.4914E-02, -5.335E-02
-9.63612E-08, -3.4893E-02, -5.335E-02
-9.63487E-08, -3.4887E-02, -5.340E-02
-9.63362E-08, -3.4872E-02, -5.340E-02
-9.63237E-08, -3.4861E-02, -5.351E-02
-9.63112E-08, -3.4851E-02, -5.351E-02
-9.62987E-08, -3.4851E-02, -5.361E-02
-9.62862E-08, -3.4840E-02, -5.366E-02
-9.62737E-08, -3.4835E-02, -5.377E-02
-9.62612E-08, -3.4824E-02, -5.393E-02
-9.62487E-08, -3.4824E-02, -5.403E-02
-9.62362E-08, -3.4824E-02, -5.414E-02
-9.62237E-08, -3.4819E-02, -5.430E-02
-9.62112E-08, -3.4819E-02, -5.451E-02
-9.61987E-08, -3.4824E-02, -5.461E-02
-9.61862E-08, -3.4829E-02, -5.482E-02
-9.61737E-08, -3.4835E-02, -5.503E-02
-9.61612E-08, -3.4829E-02, -5.519E-02
-9.61487E-08, -3.4840E-02, -5.540E-02
-9.61362E-08, -3.4840E-02, -5.567E-02
-9.61237E-08, -3.4856E-02, -5.577E-02
-9.61112E-08, -3.4866E-02, -5.598E-02
-9.60987E-08, -3.4866E-02, -5.625E-02
-9.60862E-08, -3.4887E-02, -5.625E-02
-9.60737E-08, -3.4898E-02, -5.651E-02
-9.60612E-08, -3.4919E-02, -5.672E-02
-9.60487E-08, -3.4930E-02, -5.677E-02
-9.60362E-08, -3.4945E-02, -5.693E-02
-9.60237E-08, -3.4951E-02, -5.709E-02
-9.60112E-08, -3.4966E-02, -5.714E-02
-9.59987E-08, -3.4982E-02, -5.714E-02
-9.59862E-08, -3.4993E-02, -5.719E-02
-9.59737E-08, -3.5014E-02, -5.735E-02
-9.59612E-08, -3.5019E-02, -5.725E-02
-9.59487E-08, -3.5024E-02, -5.714E-02
-9.59362E-08, -3.5035E-02, -5.714E-02
-9.59237E-08, -3.5040E-02, -5.704E-02
-9.59112E-08, -3.5051E-02, -5.693E-02
-9.58987E-08, -3.5056E-02, -5.688E-02
-9.58862E-08, -3.5045E-02, -5.667E-02
-9.58737E-08, -3.5040E-02, -5.651E-02
-9.58612E-08, -3.5040E-02, -5.630E-02
-9.58487E-08, -3.5030E-02, -5.609E-02
-9.58362E-08, -3.5014E-02, -5.588E-02
-9.58237E-08, -3.4998E-02, -5.561E-02
-9.58112E-08, -3.4977E-02, -5.540E-02
-9.57987E-08, -3.4956E-02, -5.514E-02
-9.57862E-08, -3.4930E-02, -5.488E-02
-9.57737E-08, -3.4903E-02, -5.461E-02
-9.57612E-08, -3.4872E-02, -5.435E-02
-9.57487E-08, -3.4840E-02, -5.424E-02
-9.57362E-08, -3.4808E-02, -5.387E-02
-9.57237E-08, -3.4766E-02, -5.372E-02
-9.57112E-08, -3.4740E-02, -5.345E-02
-9.56987E-08, -3.4692E-02, -5.330E-02
-9.56862E-08, -3.4650E-02, -5.319E-02
-9.56737E-08, -3.4608E-02, -5.303E-02
-9.56612E-08, -3.4577E-02, -5.287E-02
-9.56487E-08, -3.4540E-02, -5.277E-02
-9.56362E-08, -3.4497E-02, -5.272E-02
-9.56237E-08, -3.4450E-02, -5.272E-02
-9.56112E-08, -3.4418E-02, -5.266E-02
-9.55987E-08, -3.4387E-02, -5.272E-02
-9.55862E-08, -3.4360E-02, -5.266E-02
-9.55737E-08, -3.4329E-02, -5.282E-02
-9.55612E-08, -3.4308E-02, -5.277E-02
-9.55487E-08, -3.4287E-02, -5.298E-02
-9.55362E-08, -3.4266E-02, -5.308E-02
-9.55237E-08, -3.4250E-02, -5.319E-02
-9.55112E-08, -3.4239E-02, -5.340E-02
-9.54987E-08, -3.4245E-02, -5.351E-02
-9.54862E-08, -3.4234E-02, -5.366E-02
-9.54737E-08, -3.4234E-02, -5.393E-02
-9.54612E-08, -3.4245E-02, -5.403E-02
-9.54487E-08, -3.4255E-02, -5.419E-02
-9.54362E-08, -3.4271E-02, -5.440E-02
-9.54237E-08, -3.4292E-02, -5.461E-02
-9.54112E-08, -3.4308E-02, -5.482E-02
-9.53987E-08, -3.4334E-02, -5.493E-02
-9.53862E-08, -3.4366E-02, -5.519E-02
-9.53737E-08, -3.4387E-02, -5.535E-02
-9.53612E-08, -3.4413E-02, -5.551E-02
-9.53487E-08, -3.4455E-02, -5.561E-02
-9.53362E-08, -3.4482E-02, -5.582E-02
-9.53237E-08, -3.4519E-02, -5.598E-02
-9.53112E-08, -3.4540E-02, -5.609E-02
-9.52987E-08, -3.4587E-02, -5.625E-02
-9.52862E-08, -3.4619E-02, -5.630E-02
-9.52737E-08, -3.4656E-02, -5.646E-02
-9.52612E-08, -3.4692E-02, -5.651E-02
-9.52487E-08, -3.4719E-02, -5.661E-02
-9.52362E-08, -3.4756E-02, -5.661E-02
-9.52237E-08, -3.4771E-02, -5.677E-02
-9.52112E-08, -3.4808E-02, -5.677E-02
-9.51987E-08, -3.4829E-02, -5.688E-02
-9.51862E-08, -3.4856E-02, -5.688E-02
-9.51737E-08, -3.4882E-02, -5.693E-02
-9.51612E-08, -3.4903E-02, -5.693E-02
-9.51487E-08, -3.4924E-02, -5.709E-02
-9.51362E-08, -3.4935E-02, -5.709E-02
-9.51237E-08, -3.4956E-02, -5.709E-02
-9.51112E-08, -3.4966E-02, -5.719E-02
-9.50987E-08, -3.4993E-02, -5.725E-02
-9.50862E-08, -3.4993E-02, -5.725E-02
-9.50737E-08, -3.5014E-02, -5.730E-02
-9.50612E-08, -3.5019E-02, -5.730E-02
-9.50487E-08, -3.5035E-02, -5.735E-02
-9.50362E-08, -3.5045E-02, -5.741E-02
-9.50237E-08, -3.5051E-02, -5.741E-02
-9.50112E-08, -3.5061E-02, -5.746E-02
-9.49987E-08, -3.5067E-02, -5.746E-02
-9.49862E-08, -3.5088E-02, -5.735E-02
-9.49737E-08, -3.5088E-02, -5.746E-02
-9.49612E-08, -3.5103E-02, -5.735E-02
-9.49487E-08, -3.5114E-02, -5.741E-02
-9.49362E-08, -3.5130E-02, -5.735E-02
-9.49237E-08, -3.5135E-02, -5.725E-02
